Nome: PETROLINA
Codigo Estacao: 82983
Latitude: -9.3886111
Longitude: -40.52333332
Altitude: 372.54
Situacao: Operante
Data Inicial: 2000-01-01
Data Final: 2024-06-01
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA AO NIVEL DO MAR, MEDIA MENSAL(mB);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2000-01-31;9;170,1;null;null;234,7;5,9;10;76,6;null;969,2;31,5;26,7;23,1;null;5;2,5;19,7;
2000-02-29;9;126,7;null;null;227,1;6,6;14;170,4;null;970,6;31,3;26,4;22,6;67,1;5;2,6;20;
2000-03-31;9;138,9;null;null;212,3;6,5;7;57,3;null;969,4;31,2;26,5;22,7;63,2;5;2,6;20,5;
2000-04-30;9;174,2;null;null;231,4;6,7;7;67,2;null;970,4;31,7;26,7;22,8;62,3;5,3;3,1;20;
2000-05-31;9;190,3;null;null;248,8;5,5;2;12,6;null;971,7;31,4;26,2;22,1;58,2;9;3,3;21,6;
2000-06-30;9;173,5;null;null;203,6;5,3;2;8,2;null;973,4;29,9;24,9;21,2;60,9;5;3,7;20;
2000-07-31;9;236,1;null;null;266,1;3,9;1;,4;null;973,5;30,1;24,6;20,2;53,8;5;3,5;20;
2000-08-31;9;266,2;null;null;256;4,6;0;0;null;973,7;30,9;25,4;20,8;52,3;5;3,8;20;
2000-09-30;9;286,9;null;null;261;4,4;2;3;null;972,2;32,2;null;21,7;51,4;6,3;4;20;
2000-10-31;9;344,4;null;null;301,7;4,1;2;6,6;null;971,3;34,1;28,2;22,7;40,9;5;3,5;20;
2000-11-30;9;206,1;null;null;243,1;5,8;8;125,3;null;969;32,1;null;23;63;5;3;19,8;
2000-12-31;9;188,8;null;null;236,6;5,2;7;109,7;null;970,6;31,4;26,9;23;null;5;2,9;19,7;
2001-01-31;9;266,8;null;null;290,2;5,2;3;9,6;null;971;33,1;27,4;22,9;56,6;5;3,2;19,8;
2001-02-28;9;232,3;null;null;200,5;6,5;7;70,7;null;969,4;33,7;28,1;23,7;54,5;5;3;20;
2001-03-31;9;212,2;null;null;221,5;6,8;11;107;null;970,2;32,9;27,6;23,2;58,6;5;2,7;20;
2001-04-30;9;258,2;null;null;244,4;6;2;,4;null;970,8;32,9;27,6;22,9;53,5;5;3,2;20;
2001-05-31;9;null;null;null;276,7;4,5;2;,8;null;970,9;33,6;28,1;23,3;52,4;5;2,8;19;
2001-06-30;9;198,5;null;null;202,2;5,9;9;41,3;null;973,8;29,5;24,8;20,9;62,9;5;3,6;20;
2001-07-31;9;260,8;null;null;244,5;5,7;4;7,5;null;974,2;29,6;24,6;20,3;61,3;6,6;3,8;20;
2001-08-31;9;304,6;null;null;232,7;5,1;2;1,2;null;976;29,7;24,4;19,9;57,7;6,6;4,3;20;
2001-09-30;9;324,7;null;null;259,8;3,6;1;20,8;null;972,1;32,7;26,7;21,6;null;6,6;3,7;20;
2001-10-31;9;368,3;null;null;286,1;3,7;0;0;1011,7;970,6;34,4;28,5;23;49;6,6;3,5;20,5;
2001-11-30;9;391,7;null;null;270,5;3,9;1;1,8;1009,9;969;35,3;29,6;24;43;5;3,2;20;
2001-12-31;9;348,8;null;null;254,2;6;6;67,2;1010,2;969,2;34,3;28,7;23,9;null;5;3,5;20,4;
2002-01-31;14;138;null;null;179,4;7,3;19;256,4;1012,4;970,8;30,1;25,7;22,4;null;5;2,7;20,4;
2002-02-28;14;207,8;null;null;249,9;5,5;4;38,3;1011,5;970,3;32,5;27,2;23,1;58,4;5;3,2;20;
2002-03-31;14;303,7;null;null;251,1;6;2;4,2;1011;969,8;33,6;28,4;23,8;50,7;5;3,3;20;
2002-04-30;14;261,1;null;null;249,2;6,1;4;20,3;1010,8;969,6;32,9;27,7;23,2;52,2;5,8;3,3;20;
