Nome: PICOS
Codigo Estacao: 82780
Latitude: -7.08083332
Longitude: -41.43499999
Altitude: 210.07
Situacao: Fechada
Data Inicial: 2000-01-01
Data Final: 2022-10-03
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2000-01-31;9;105,3;null;null;218,7;5,3;9;122,6;984,3;32;26,6;22,4;72,2;5,3;1,5;61,2;null;
2000-02-29;5;67,2;null;null;174,4;5,9;21;243,5;985,7;31,2;25,7;22,1;81;4;1,3;60,1;null;
2000-03-31;5;90,6;null;null;213,9;5,4;14;106;984,6;31,6;26;22;74,3;7,5;1,4;60,7;null;
2000-04-30;14;79,1;null;null;202,3;5,4;17;279,9;985,5;31,5;25,9;22,1;78,6;4,5;1,3;58,8;null;
2000-05-31;14;146,7;null;null;275,4;3,6;3;13,5;986,2;33,1;26,5;20,8;64,9;5;1,7;64;null;
2000-06-30;14;242,8;null;null;240;4,1;1;,4;987,3;33,4;27;20,8;55;5,5;2,3;64,3;null;
2000-07-31;null;288,9;null;null;274,5;null;1;2,8;null;33,8;null;20,2;null;null;null;null;null;
2000-08-31;null;378,4;null;null;294,8;null;0;0;null;35,2;null;21,4;null;null;null;null;null;
2000-09-30;null;345,4;null;null;278,7;null;4;8,1;null;36;null;23,6;null;null;null;null;null;
2000-10-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2000-11-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2000-12-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2001-01-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2001-02-28;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2001-03-31;null;83,8;null;null;222,4;null;11;145;null;32,3;null;21,9;null;null;null;null;null;
2001-04-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2001-05-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2001-06-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2001-07-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2001-08-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2001-09-30;null;null;null;null;null;null;1;22;988,9;null;null;null;null;6,2;null;null;null;
2001-10-31;9;342,4;null;null;297,1;3,5;2;6,3;987,3;37,8;31,1;24,9;37,4;5,3;2,3;64,8;null;
2001-11-30;5;null;null;null;null;4,5;0;0;986,3;37,5;31,1;25,7;43,3;5,2;2,1;96,3;null;
2001-12-31;5;null;null;null;null;5;11;135,3;986,2;34,8;28,6;23,3;58,9;5,2;1,9;97,2;null;
2002-01-31;5;null;null;null;null;6,7;18;198,2;988,4;30,8;25,9;22,2;78,2;5,2;1,4;97,1;null;
2002-02-28;9;null;null;null;null;4,3;6;18;988;34,3;27,6;22;60,7;5;2;97,4;null;
2002-03-31;5;null;null;null;null;5,8;13;128,4;988,1;33;26,7;22,2;71,9;4,6;1,4;97,2;null;
2002-04-30;18;null;null;null;223,5;5,3;9;51;987,5;33;26,7;21,7;67,3;5,1;1,7;97,3;null;
2002-05-31;14;null;null;null;253,1;4,6;7;28,4;988,5;34,7;28,1;22;54,4;5,1;2,1;97,4;null;
2002-06-30;14;null;null;null;264,7;3,4;1;1;990,8;34;27,7;21,3;50,6;5,7;2,4;96,5;null;
2002-07-31;14;307;null;null;281,1;2,8;1;1,7;990,8;34,4;28;21,1;44,8;6,1;2,7;66;null;
2002-08-31;14;null;null;null;308,9;2;0;0;990,7;34,8;28,3;21,4;44,6;6,2;3,1;96;null;
2002-09-30;14;null;null;null;297,5;3;2;7,2;988,9;36,6;29,9;23,7;40;8,2;2,4;97,4;null;
2002-10-31;14;null;null;null;304,9;3,1;3;10,7;986,9;37,6;31,2;25,3;36,9;10,3;2,8;97,4;null;
2002-11-30;9;278,6;null;null;287,5;4;4;13,2;987,1;37,9;31,6;25,8;39,5;5,3;2,5;64,6;null;
2002-12-31;5;null;null;null;240,3;5,3;9;111,5;987,8;35,7;29,4;24,1;54,3;4,1;1,6;96,7;null;
2003-01-31;5;141,6;172,1;172,1;255,4;4,6;13;129,3;988,2;34,1;27,9;23,1;59,4;5,8;1,5;63,4;null;
2003-02-28;5;103,1;131,9;131,9;141,9;6,3;11;67,8;988,2;32,8;27;23;66,7;4,8;1,5;59,7;null;
2003-03-31;5;76,3;135,4;135,4;226,7;5,3;18;214,3;988;32,3;26,5;22,6;71,7;4,1;1,3;61,2;null;
2003-04-30;5;95,6;132,8;132,8;247,6;4,7;8;72,6;988,6;32,8;26,7;22,3;69,3;4,1;1,4;61,7;null;
2003-05-31;14;174,1;143,8;91,8;248,6;4,5;4;52;989,2;33,8;27,1;21,5;58,6;5;1,8;63,4;null;
2003-06-30;14;284,3;148,8;,7;261,6;3,4;1;,7;989,7;34,7;27,6;20,5;44,9;5;2,4;64,8;null;
2003-07-31;14;323;136,8;10,7;305,9;2,2;1;10,7;991,3;33,9;26,9;19,2;43,5;5,8;2,8;65,9;null;
2003-08-31;14;341,1;188,2;0;314,5;2,5;0;0;990,5;35,9;28,9;21,4;38,8;5,8;2,5;65,9;null;
2003-09-30;14;348,7;null;null;323,5;2,3;0;0;989,2;37;30,4;23,8;35,3;5,8;2,7;66;null;
2003-10-31;14;340,7;null;null;309,5;3,3;0;0;987,2;37,9;31,5;25,1;33,6;4,8;2,7;64,4;null;
2003-11-30;14;321,5;null;null;273,4;4,6;5;4,2;986,2;37,6;31,6;26;38,5;5,8;2,2;64;null;
2003-12-31;5;275,8;null;null;273;5,2;15;91,9;986,5;37,2;30,6;25,1;45,2;4;2;59,4;null;
2004-01-31;5;90,1;null;null;133,3;7,7;21;434,5;987,3;31,4;26,5;23;72,5;3,8;1,4;51,2;null;
2004-02-29;5;70,4;null;null;173,5;6,8;20;300,5;988,5;31,4;26,1;22,5;72,6;5,5;1,4;53,8;null;
2004-03-31;5;105,2;null;null;244,7;5,2;7;23,5;987,6;32,7;26,8;22,5;65,6;4,3;1,4;56,8;null;
2004-04-30;14;95,6;null;null;194;5,3;7;67,4;988,2;32,7;26,5;22,1;67,3;4,1;1,3;56,2;null;
2004-05-31;14;143;null;null;256,3;3,8;6;10,4;989,3;33,4;26,5;20,9;58,6;4,5;1,8;60,6;null;
