Nome: PORTO DE PEDRAS
Codigo Estacao: 82996
Latitude: -9.162012
Longitude: -35.299881
Altitude: 42.21
Situacao: Operante
Data Inicial: 2000-01-01
Data Final: 2024-06-01
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2000-01-31;null;null;null;null;null;null;1;null;null;null;null;null;null;null;null;null;null;
2000-02-29;9;102,4;null;null;233;6;14;185,7;1006,9;29,7;26,8;23,3;null;9;3,5;76,5;null;
2000-03-31;9;137,5;null;null;264,6;5,5;17;149,4;1006;30,2;27,2;23,9;null;9;4,4;75,6;null;
2000-04-30;14;93,7;null;null;219,2;6,2;22;356,5;1007;29,4;26,6;23,7;null;12;3,6;72,5;null;
2000-05-31;14;109;null;null;235,6;6;18;159,6;1008,5;29,2;26,2;22,9;null;9;4,2;67;null;
2000-06-30;14;103,9;null;null;150,4;6,6;26;324,9;1010,9;28;25,5;23;null;9;4,9;20,8;null;
2000-07-31;14;101,7;null;null;171,3;7,1;26;344,3;1010,9;27,2;24,5;22;null;9;4,9;23,5;null;
2000-08-31;14;104,9;null;null;215,3;6,1;23;381,7;1012,1;27,4;24,7;22;null;9;4,4;25,1;null;
2000-09-30;14;115,5;null;null;201,3;6,1;23;420,1;1011,1;28;25,2;22,7;null;9;5,4;27,1;null;
2000-10-31;9;153,7;null;null;269,3;5,5;13;27,4;1011,1;29,2;26,2;23,6;null;9;6,4;28,8;null;
2000-11-30;9;134,6;null;null;273,1;5,6;12;10,5;1008;30,1;26,7;23,3;null;9;5,7;29,5;null;
2000-12-31;5;116;null;null;264,7;5,4;11;79,1;1008,8;29,6;26,3;22,6;null;9;4,5;29,4;null;
2001-01-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
