Nome: PROPRIA
Codigo Estacao: 83097
Latitude: -10.21388888
Longitude: -36.84222221
Altitude: 18.46
Situacao: Operante
Data Inicial: 2000-01-01
Data Final: 2024-06-01
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2000-01-31;null;86,8;null;null;228,9;4,1;9;56;1006,9;32,8;27,1;23,2;76;null;null;69;null;
2000-02-29;null;74,5;null;null;180,7;4,6;12;124,4;1008,1;32,3;27,1;23,3;77;null;null;68,6;null;
2000-03-31;null;56,6;null;null;197,7;4,4;18;74,6;1007,3;31,9;26,9;23,2;78,7;null;null;69,8;null;
2000-04-30;null;33,1;null;null;179,5;4,7;21;291,3;1008,5;30,8;26,2;23,1;84,7;null;null;69;null;
2000-05-31;null;32,2;null;null;204,8;4,5;16;87,6;1009,9;30;25,2;21,9;85,4;null;null;66,8;null;
2000-06-30;null;37,6;null;null;131,7;5,4;27;188,9;1012;28,8;24,3;21,2;88;null;null;62,3;null;
2000-07-31;14;37,6;null;null;152,5;5,2;23;143,4;1013,4;28,6;23,7;20,3;86,2;5;2,2;48,6;null;
2000-08-31;14;41,6;null;null;178,4;5;20;92,3;1014,3;28,9;23,9;20,4;83,7;5,8;1,8;46,8;null;
2000-09-30;14;71,4;null;null;150,8;4,4;17;140,8;1012,9;29,6;24,3;20,6;81,7;6,5;3;48,7;null;
2000-10-31;9;105,1;null;null;186,1;4;5;14,8;1012,6;31,7;25,6;20,3;74;9,1;3,7;50;null;
2000-11-30;9;null;null;null;191,7;4,2;5;24,4;1009,1;33,5;27,2;22,4;70,4;8,8;4,2;49,3;null;
2000-12-31;9;null;null;null;190,7;4,5;8;102,6;1009,9;33,2;27;22,6;73,7;null;null;48,7;null;
2001-01-31;14;null;null;null;207,9;4;5;10,8;1011,2;32,7;26,7;21,4;70;6;null;37;null;
2001-02-28;9;null;null;null;193,8;3,8;1;,2;1009,4;34,2;27,9;22,7;67,8;6,5;3,3;36,7;null;
2001-03-31;9;null;null;null;199,3;4;9;77;1010,1;33,3;27,5;23;73,2;6,3;2,9;36,7;null;
2001-04-30;14;null;null;null;211,1;4,3;9;85,8;1011;32,1;26,5;21,7;73,7;5,5;2,4;36,2;null;
2001-05-31;9;null;null;null;231,7;3,4;9;38,9;1011,2;31,6;26,1;21,8;79,7;5,5;2,3;36,7;null;
2001-06-30;14;null;null;null;174,4;4,9;18;265,8;1013,9;28,7;24,2;20,6;84,6;6,3;2,1;35,9;null;
2001-07-31;14;null;null;null;160,8;5,5;28;224,4;1014,8;27,9;23,4;19,4;86,2;6,6;1,9;40,2;null;
2001-08-31;14;76,3;null;null;174,1;4,8;27;112,1;1016,9;27,9;23,2;20,1;83,3;6,1;2,5;46,5;null;
2001-09-30;14;106,2;null;null;200,2;4;11;36,8;1013,4;30;24,6;20,7;78,9;5,4;2,6;46,7;null;
2001-10-31;14;142,6;null;null;165,4;4,8;12;102,5;1011,9;31,5;25,8;21,8;77,6;6,6;3;46,6;null;
2001-11-30;14;165,6;null;null;209,1;3,6;2;3;1010,2;32,8;26,8;22,3;72,2;7,3;3,9;46,7;null;
2001-12-31;14;142;null;null;175,5;4,7;14;62,9;1010;32,2;27;23,2;76,2;7,8;3,7;46,2;null;
2002-01-31;14;80,6;null;null;134,2;5,7;21;205,2;1009,8;31;26,3;22,9;81,4;11,3;2,4;45,8;null;
2002-02-28;14;105,1;null;null;174,4;4,3;12;62;1010,2;31,9;27,2;null;77,5;7,5;2,8;47,9;null;
2002-03-31;14;139;null;null;185,5;4,2;12;43,4;1009,9;32,5;27,4;null;76,6;7,1;2,8;45,8;null;
2002-04-30;14;110,5;null;null;135,1;4,7;13;48,4;1009,7;31,8;26,5;22,5;77,3;7,5;2,3;46,7;null;
