Nome: QUIXERAMOBIM
Codigo Estacao: 82586
Latitude: -5.17305554
Longitude: -39.28722221
Altitude: 227.33
Situacao: Operante
Data Inicial: 2000-01-01
Data Final: 2024-06-01
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA AO NIVEL DO MAR, MEDIA MENSAL(mB);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2000-01-31;5;139,4;null;null;217,4;6,9;13;73;null;985;32,1;27;23,4;72,9;7;3;50,4;
2000-02-29;5;128,3;null;null;200,7;7,5;11;70,7;null;985,9;32,8;27;23,2;74,5;5;2,8;50;
2000-03-31;5;102,8;null;null;208,7;7,2;14;138,3;null;985,1;32,2;26,9;23,5;77,8;5,8;2,6;50;
2000-04-30;18;82,2;null;null;215,3;7,1;20;221,4;null;985,5;31,3;26;22,6;78;6,3;2,1;50,4;
2000-05-31;14;86;null;null;239;6,2;14;91;null;986,8;30,4;25,7;22,4;78,5;7,6;2,2;49,3;
2000-06-30;14;74;null;null;211,9;6;11;95,1;null;null;30,6;25,4;21,9;77,6;null;null;6,7;
2000-07-31;null;null;null;null;null;null;4;null;null;null;null;null;null;null;null;null;null;
2000-08-31;5;160;null;null;262,3;4,8;8;57,1;null;null;31,8;26;21,6;69,7;null;null;6,6;
2000-09-30;5;200,1;null;null;269,8;4,4;4;35;null;null;33,9;27,2;22,8;68,3;null;null;6,7;
2000-10-31;5;null;null;null;309,4;3,3;null;null;null;null;35,2;28;23;63,6;null;null;6,7;
2000-11-30;5;null;null;null;260,4;4,2;1;null;null;null;35,3;28,1;23,3;62,5;null;null;6,7;
2000-12-31;5;null;null;null;253,6;5,4;5;null;null;null;34,2;27,9;23,6;65,4;null;null;6,7;
2001-01-31;5;null;null;null;229,1;6,1;4;38,5;null;null;34,1;28,1;23,7;65,1;null;null;6,7;
2001-02-28;5;null;null;null;196,7;5,9;6;20,7;null;null;34,2;28,3;24;55,3;null;null;6,7;
2001-03-31;5;145,3;null;null;202,6;7;14;172,9;null;null;33,1;27,2;23,1;69,1;null;null;6,7;
2001-04-30;5;98;null;null;167,1;7,7;14;163,6;null;null;31,4;26,2;22,7;77,9;null;null;6,7;
2001-05-31;5;null;null;null;253,6;4,4;5;5,4;null;null;33,1;27,3;23;66;null;null;6,7;
2001-06-30;9;null;null;null;224;5,7;12;79,6;null;null;32;26,4;22;65,8;null;null;6,7;
2001-07-31;null;null;null;null;null;null;1;null;null;null;null;null;null;null;null;null;null;
2001-08-31;9;null;null;null;308;2,8;5;18,5;null;null;34,2;27,2;21,1;51,1;null;null;14,5;
2001-09-30;5;null;null;null;274,1;3,3;0;0;null;986,6;35,6;28;22,7;54,2;7,3;null;40,6;
2001-10-31;5;281,4;null;null;259,7;4,1;3;3,2;1009,6;986,1;35,8;28,4;23,1;52,4;8,3;4,1;50,9;
2001-11-30;5;null;null;null;268,1;4,4;0;0;1009,8;986,2;35,8;28,6;24,5;60,4;6,7;4,3;95,7;
2001-12-31;5;null;null;null;281,4;5;1;3;1009,1;985,6;35,7;29,3;24,9;62,9;7,8;4,7;91,8;
2002-01-31;5;94,3;null;null;172,7;7,9;20;407,2;1010,8;987;32;26,5;22,9;78,3;6,3;2,4;50,9;
2002-02-28;9;null;null;null;null;5,9;7;63;1011,1;987,4;32,6;27,1;23,7;73;6,7;2,8;95,7;
2002-03-31;9;null;null;null;null;7;15;110,8;1010,8;987,1;32,5;26,8;23,5;77,4;7,2;2,5;96,9;
2002-04-30;9;null;null;null;181,6;7,4;19;302,1;1010,6;986,7;30,8;26;22,9;84;5,1;2,1;96,8;
2002-05-31;9;null;null;null;232,5;6,1;10;102,6;1011,7;987,9;31,1;26,2;23,2;81,4;7,2;2,3;95,8;
2002-06-30;14;null;null;null;220,1;5,8;10;52,3;1013,3;989,2;31;25,6;22,2;76,7;5,1;2,3;95,7;
2002-07-31;null;null;null;null;null;null;3;21,4;null;null;null;null;null;null;null;null;null;
2002-08-31;9;null;null;null;273,6;3,1;2;40,3;1011,7;987,9;34,3;27,5;22,5;56,4;6,7;3,6;96,6;
2002-09-30;9;null;null;null;284,6;3,1;0;0;1010,8;987,2;35,5;27,8;23;56,2;9,3;3,9;95,6;
2002-10-31;5;null;null;null;312,3;3,2;2;1,6;1009,2;985,5;35,9;28,4;23,6;53;6,7;4,5;93,7;
2002-11-30;5;248,4;null;null;288,1;3,8;0;0;1009;985,4;36,1;28,6;24,1;58,9;6,6;3,9;51,6;
2002-12-31;5;null;null;null;257,6;4,6;4;7,8;1009;985,6;36,2;29,1;24,6;56,6;6,6;3,8;49,3;
