Nome: RECIFE (CURADO)
Codigo Estacao: 82900
Latitude: -8.05916666
Longitude: -34.95916666
Altitude: 11.3
Situacao: Fechada
Data Inicial: 2000-01-01
Data Final: 2020-08-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA AO NIVEL DO MAR, MEDIA MENSAL(mB);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2000-01-31;9;121;null;null;228,8;6,8;17;276,4;null;1010;29,9;26,7;22,9;76,5;5;2,7;46,7;
2000-02-29;14;136,4;null;null;204,5;6,6;13;87,9;null;1011;30,3;27;23,2;76,9;5,8;2,9;47,1;
2000-03-31;14;160,1;null;null;221,9;6,5;23;174,1;null;1010,1;30,3;27,2;23,2;74,9;5,6;2,9;46,7;
2000-04-30;18;95,9;null;null;189,8;7;27;435,4;null;1011,2;29,6;26,4;23,2;82,9;6,3;2,4;46,7;
2000-05-31;18;108,7;null;null;205,5;7,1;22;265,4;null;1012,2;29,2;25,7;22,3;82,8;6,6;2,7;46,6;
2000-06-30;18;89,7;null;null;133,2;7,8;26;562,9;null;1013,7;27,9;24,8;22;86;5,8;2,6;46;
2000-07-31;18;84,9;null;null;121,5;7,8;29;575;null;1013,7;27;24;21,6;86,8;5,6;2,1;46,2;
2000-08-31;18;118,6;null;null;198;7,1;21;443,4;null;1015;27,6;24,4;21,2;81,1;5,8;2,4;46,7;
2000-09-30;14;125,6;null;null;163;7,3;27;336,1;null;1013,9;28,2;25,1;21,6;80,4;6;2,6;46,7;
2000-10-31;14;193,7;null;null;219,5;6,8;18;58,2;null;1013,8;29,1;26,1;22,9;73;6,3;3,3;46,5;
2000-11-30;14;183,9;null;null;244,8;6,3;10;45,1;null;1011,2;29,7;26,4;22,4;73;5,3;3;46,7;
2000-12-31;14;165,5;null;null;224,3;6,6;9;176;null;1011,8;29,3;26,1;22,1;76,5;4,5;2,3;46,7;
2001-01-31;14;229,6;null;null;244,5;6,4;13;58,8;null;1012,3;29,8;26,6;22,4;72,4;6,3;3,2;47,1;
2001-02-28;14;193,3;null;null;237,9;6,2;12;56,5;null;1010,9;30,9;27,3;23,2;72;5;3,2;46,7;
2001-03-31;14;160,9;null;null;211,8;6,2;19;133,7;null;1011,4;30,4;27;23,2;76,8;6,6;2,8;47,1;
2001-04-30;14;98,9;null;null;173,3;7,3;23;327,8;null;1012;29,6;26;22,6;81,9;6;2,6;46,7;
2001-05-31;14;110,8;null;null;249,9;5,8;10;59,5;null;1012,3;30;26,2;21,8;78,3;5;2,4;46,7;
2001-06-30;14;85,4;null;null;155,9;7,3;26;432,4;null;1014,1;28,4;24,6;21,5;85,4;5,8;2,5;46,4;
2001-07-31;18;89,6;null;null;197;6,9;31;355,5;null;1014,8;27,8;24,4;21,4;84;6,3;2,7;46,7;
2001-08-31;18;140;null;null;217,2;6,4;25;211;null;1016,9;27,7;24,5;21,4;78;6,3;3,5;46,6;
2001-09-30;14;143,4;null;null;217,4;6,7;16;106,3;null;1014,4;28,4;25,3;22,1;77;6,6;3,4;46,7;
2001-10-31;14;169,1;null;null;184,7;6,7;11;103,7;1014,3;1013,5;29,2;26,1;23,3;78,3;5,8;2,9;46,6;
2001-11-30;9;199,5;null;null;237;6,1;9;32,1;1013,2;1012,3;30;26,8;23,3;74,3;5;3,2;46;
2001-12-31;14;188,2;null;null;213,5;6,8;22;109;1012,4;1011,6;30,2;27,3;24,4;77,7;5,6;3,7;46,7;
2002-01-31;14;123,3;null;null;157;7,4;23;231,6;1012,8;1011,8;29,6;26,5;23,3;80,9;5;2,4;46,7;
2002-02-28;14;121,5;null;null;195,2;6,8;16;199,5;1013,2;1012,3;30,1;26,9;23,5;77,8;6,6;2,9;46,7;
2002-03-31;14;93,9;null;null;206;6,8;25;409,8;1012,8;1012;29,8;26,6;23,4;80,9;5;2,6;46,7;
2002-04-30;14;97,2;null;null;194,9;7;23;140,2;1012,2;1011,3;29,8;26,5;23;80;6,6;2,9;48,3;
2002-05-31;14;101,3;null;null;170,5;6,9;21;304,2;1013,7;1012,8;29,1;26;23,1;81,9;5,8;2,9;46,7;
2002-06-30;18;82,3;null;null;155,4;7,5;25;583,5;1015,9;1015;27,8;24,8;22,2;84,7;5,6;2,7;46,2;
2002-07-31;18;93,1;null;null;163,5;7,1;24;282,3;1016,9;1016;27,7;24,5;21,8;83,3;5,8;2,6;46,7;
2002-08-31;18;130,3;null;null;200,7;6,9;25;124,2;1017,1;1016,2;27,8;24,7;21,2;77,7;6,6;3,6;46,7;
2002-09-30;14;139,3;null;null;243,5;5,8;12;42,5;1016,2;1015;28,7;25,5;21,4;72,5;5,3;3;47,1;
2002-10-31;9;165,4;null;null;189,1;6,5;12;49;1014,7;1013,8;29;26;22,8;74,1;5;3;46,7;
2002-11-30;9;152,6;null;null;199;6,5;13;87,7;1014;1013,2;29,7;26,2;22,5;75,2;5;2,9;47,1;
2002-12-31;9;156,9;null;null;242,3;6,3;10;33,1;1013,5;1012,6;30,7;27,2;23,5;74;5,3;2,8;46,7;
2003-01-31;9;168,4;160,2;160,2;228,6;6;12;53,3;1013,1;1012,3;31,4;27,3;22,6;73;4,5;2,5;46,7;
2003-02-28;14;119,4;136,9;136,9;175,1;6,8;21;158,5;1012,8;1011,9;30,5;26,9;23;77,3;5;2,6;46,5;
2003-03-31;9;83,8;143,5;143,5;197,9;6,7;25;397,9;1012,4;1011,5;30,4;26,6;22,9;81,5;4,8;2;46,7;
2003-04-30;14;99,4;129,4;129,4;232,7;5,8;18;116,1;1012,9;1012;30,5;26,7;22,7;79,2;4,5;2,4;47,3;
2003-05-31;14;87,5;128,2;128,2;220,2;6;19;225,9;1013,9;1013;30;26;22,6;82;5;2,1;47,3;
2003-06-30;14;66,8;98;98;148,1;6,8;24;474,5;1015;1014,1;28;24,3;21,4;86;4,3;1,7;45,7;
2003-07-31;14;90,7;97,4;97,4;205,9;6,5;26;282,2;1017;1016,1;27,4;24;21,1;83,6;5;1,9;45,8;
2003-08-31;14;85,5;100,1;100,1;234,8;6;24;194,8;1017;1016,1;27,8;24,1;20,7;81,3;7,5;2;47,6;
2003-09-30;14;101,5;null;null;241;5,9;18;136;1016,2;1015,3;28,5;25,1;21,7;77,4;5;2,5;46,8;
2003-10-31;14;143,2;null;null;248,9;6,2;18;52,3;1014,4;1013,5;29,5;26;22,5;74,3;5,1;2,6;46,3;
2003-11-30;9;142,6;null;null;265,8;5,2;11;26,8;1012,9;1012;30,7;26,9;23,3;72,3;4,3;2,4;48;
2003-12-31;9;173,8;null;null;266,7;5,5;16;51,5;1013;1012,1;31,3;27,3;23,5;71,9;7,3;2,7;46,7;
2004-01-31;5;105,3;null;null;148,2;7,4;22;249,9;1011,6;1010,7;30,7;26,9;23,7;79,2;4,6;1,9;45,3;
2004-02-29;9;86,4;null;null;185,4;6,8;17;226;1012,7;1011,7;30,7;26,7;22,9;79,2;4,8;1,9;45,1;
2004-03-31;9;121,8;null;null;228,6;6,3;19;168,8;1012,2;1011,3;30,7;26,9;23,2;77,2;6;2,2;47;
2004-04-30;9;79,4;null;null;178,2;6,8;26;378,2;1012,8;1011,9;30,1;26,3;23;82;4,3;1,9;48,6;
2004-05-31;14;63,3;null;null;166,6;7;28;327,7;1014,2;1013,3;29,3;25,3;22,2;86,1;4,6;1,5;46,5;
2004-06-30;14;50,9;null;null;92,6;8;27;537,3;1016,8;1015,9;28,3;24,4;21,7;88;4,5;1,6;45,8;
2004-07-31;14;57,6;null;null;149,3;6,8;24;359,8;1015,9;1014,9;27,9;23,8;20,6;86,1;3,8;1,7;46;
2004-08-31;14;82,5;null;null;225,6;6,2;23;138,9;1017,3;1016,4;28,4;23,9;20;82,5;5;1,9;46,6;
2004-09-30;14;111,2;null;null;222,8;6,6;18;81,1;1016;1015,1;28,6;24,9;21,2;78,2;4,8;2,5;46,6;
2004-10-31;9;140,6;null;null;262,3;5,8;9;33,6;1014,3;1013,4;29,6;26;22,2;73,8;5;2,7;48,6;
2004-11-30;9;152,1;null;null;255,9;5,7;6;18,2;1013,2;1012,3;30,6;26,7;22,9;71,1;5;2,8;48,4;
2004-12-31;9;185,8;null;null;285,5;5,6;9;13,2;1012,8;1011,9;31;27,1;22,7;69,4;5;2,8;48,4;
2005-01-31;9;170,8;null;null;262,9;6;6;14,3;1011,8;1010,9;31,5;27,6;23,3;70,6;4,6;2,7;47;
2005-02-28;9;134,8;null;null;214,7;6,1;16;80,4;1011,6;1010,9;31,7;27,7;23,9;74,6;4,8;2,5;47,1;
2005-03-31;9;153;null;null;239,3;6,4;13;75,9;1012,3;1011,4;31,9;28,1;23,7;72,6;4;2,4;47,8;
2005-04-30;14;108,7;null;null;239,1;6,4;21;168,1;1012,7;1011,8;30,6;27,2;23,2;78,3;4,6;2,1;46,7;
2005-05-31;14;62,6;null;null;161,8;7,4;25;507,1;1013,5;1012,5;29,5;25,8;22,3;86,1;6,5;1,7;46,5;
2005-06-30;14;56,3;null;null;117;7,9;30;709;1015;1014;28,4;24,8;21,9;87,5;4;1,7;46,9;
2005-07-31;14;85,6;null;null;212,8;6,2;27;182,7;1017,1;1016,2;28,1;24,2;20,6;81,7;5,1;2,2;46,7;
2005-08-31;14;78,5;null;null;181,1;7,4;27;290,8;1016,7;1015,9;27,7;24,1;20,9;83,4;4,6;2;46,2;
2005-09-30;14;118,7;null;null;234,3;6,3;16;45,3;1016,1;1015,3;28,7;25,2;21,4;76,1;5,6;2,7;47,4;
2005-10-31;14;83,9;null;null;277,4;6,2;12;59,7;1015;1014,1;29,7;25,9;21,8;74;5;2,7;46,5;
2005-11-30;9;156,2;null;null;262,1;6,2;9;8,7;1013;1012,1;30,6;26,9;23,3;70,6;4,6;2,8;48,3;
2005-12-31;9;142,9;null;null;232,7;6,5;15;174,2;1011,8;1010,9;30,1;26,7;22,9;73,1;5;2,7;46,6;
2006-01-31;9;167,3;null;null;251,1;6,6;11;12,3;1012,4;1011,5;30,6;27,1;23,3;70,5;4,3;2,8;49;
2006-02-28;9;129,9;null;null;221,9;6,1;8;32,4;1011,8;1010,9;31,8;27,7;23,2;70,5;4,6;2,3;47,9;
2006-03-31;5;87;null;null;255,9;5,9;17;158,2;1012;1011,1;31,6;27,6;23;74,7;5,1;2,1;47,1;
2006-04-30;9;69,6;null;null;193,4;6,5;22;322,2;1011,5;1010,5;30,6;26,7;22,9;80,5;5,3;1,6;45,3;
2006-05-31;14;68;null;null;191,9;6,7;25;338;1014;1013,1;29,7;25,8;22,6;85;5,6;1,8;46,3;
2006-06-30;14;71,7;106,4;106,4;147,4;7,8;26;432,1;1015,5;1014,5;28,5;25;22;83,5;8;2,3;52;
2006-07-31;14;71;103;103;190,2;6,7;26;222,5;1016,6;1015,8;28,4;24,5;21,1;82,5;5;2,2;47,2;
2006-08-31;14;96,5;105,8;105,8;199,2;6,6;21;185,8;1016,3;1015,4;28,4;24,6;21,2;79,7;5;2,3;46,1;
2006-09-30;14;107,7;114,8;114,8;245,5;6,2;15;79;1016,1;1015,2;29;25,4;21,8;75;4,6;2,4;48,4;
2006-10-31;14;151,9;143,1;108,5;284,8;6;10;8,7;1013,9;1013;30,3;26,7;22,8;70;4,5;2,7;46,7;
2006-11-30;14;133,7;148;84,7;274,7;5,7;10;84,7;1012,6;1011,7;30,8;27;23;71;5,5;2,9;47,9;
2006-12-31;14;117,9;154,1;106,4;237,9;5,9;9;106,4;1013,5;1012,6;30,9;27;22,8;73,2;4,6;2,4;47,4;
2007-01-31;14;109;155,5;83,7;256,7;6,3;16;83,5;1013;1012,1;30,9;27,1;23,1;75;4,1;2,2;49,9;
2007-02-28;14;79,1;142,1;142,1;196,2;6,4;15;226,7;1012,5;1011,6;31,6;27,4;23,2;75,6;4,3;2,2;46,4;
2007-03-31;14;88,7;147,2;147,2;228,5;6,9;19;138,7;1012,5;1011,6;30,4;26,9;23,3;78;4,3;2,1;47,4;
2007-04-30;14;80,1;131,1;131,1;212,4;6,6;19;347,3;1012,8;1011,9;30,3;26,3;22,7;80,5;4,1;1,7;46,6;
2007-05-31;14;65,1;117;117;205,1;6,6;20;208,2;1013,7;1012,7;29,7;25,6;22,5;83,9;4,3;1,6;46,2;
2007-06-30;18;56,1;103,5;103,5;129,8;7,5;25;390,8;1015,8;1014,8;28,4;24,8;21,7;84,2;3,6;1,6;45,6;
2007-07-31;18;61,3;94,7;94,7;191,7;6,5;26;331;1016,5;1015,6;28,3;24,1;21;83,6;4;1,7;46,9;
2007-08-31;18;81,6;101,5;101,5;196,4;7,4;26;223,7;1016,6;1015,8;27,7;24,3;21,6;81,2;5,5;2,2;46,7;
2007-09-30;18;101,9;105,8;105,8;207,2;6,8;19;127,1;1017,1;1016,2;27,7;24,7;21,7;79,5;5,3;2,4;46,5;
2007-10-31;14;126,7;125,7;125,6;231,8;6,5;16;25,6;1014,6;1013,8;28,9;25,6;22,2;74,1;5;2,8;46,5;
2007-11-30;14;120,6;138,9;40;263,9;5,8;10;40;1012,8;1011,8;30,2;26,5;23,1;71,8;4,5;2,7;47,1;
2007-12-31;14;149,9;156;30,6;264,6;6,3;12;30,6;1012,3;1011,4;30,7;27;23,5;70,6;5;2,6;46,7;
2008-01-31;9;112,1;153,6;85,7;213,5;6,3;13;85,7;1011,5;1010,6;30,4;27;23,4;72,6;4,3;2,4;47,6;
2008-02-29;9;128,4;156,5;32,3;256,7;5,4;8;32,3;1012;1011,1;31,8;27,7;23;69,2;4,3;2,4;46,7;
2008-03-31;14;106,3;149;149;207,8;6,1;15;395,4;1011,2;1010,2;31;27;23,2;77,5;3,8;1,5;47;
2008-04-30;14;70,2;126,1;126,1;211,9;6,4;21;314,2;1011;1010;30,4;26,1;21,9;82,2;3,7;1,3;47;
2008-05-31;14;65,5;118,5;118,5;186,8;6,8;26;415,7;1012,8;1011,7;29,3;25,5;21,7;84,2;5,3;1,5;47,3;
2008-06-30;18;67,3;96,6;96,6;148,9;7,4;24;391,8;1014,8;1013,8;28,1;24,3;21,1;86;4,7;1,7;46,3;
2008-07-31;14;62;101,6;101,6;155;7,6;29;374,3;1016,4;1015,6;27,2;23,8;20,8;85,2;5;2;46,7;
2008-08-31;14;72,8;96,1;96,1;173,8;7,1;27;294,4;1015,4;1014,5;27,4;23,8;20,5;84,9;4,3;1,8;47,1;
2008-09-30;14;120,8;114,8;96,3;195,2;6,9;16;47,6;1015,7;1014,8;28,5;25,3;22,4;78;4,2;2,2;47,1;
2008-10-31;14;147,9;134,3;78,3;222,4;6,8;17;53,6;1015,1;1014,2;29,3;26,2;23,1;74,9;5;2,8;46,7;
2008-11-30;9;142,4;144,4;37;248,2;6;7;16;1012,9;1012,1;30,5;26,9;23,1;69,3;5,2;2,7;47,1;
2008-12-31;14;142,7;156;23,1;241,5;6;6;18,3;1011,9;1011;31,1;27,2;23;68,8;5;2,8;47,5;
