Nome: REMANSO
Codigo Estacao: 82979
Latitude: -9.62583332
Longitude: -42.07722221
Altitude: 397.39
Situacao: Fechada
Data Inicial: 2000-01-01
Data Final: 2021-07-30
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2000-01-31;14;null;null;null;214,7;5,1;12;157,2;965,7;30,8;26,7;null;72,8;5,8;1,5;70;null;
2000-02-29;14;null;null;null;236,1;5,3;13;210,6;966,9;30,9;26,4;null;76,1;4,5;1,6;70;null;
2000-03-31;14;null;null;null;235,7;5;10;126,4;966;31,3;26,9;null;72,1;4,6;1,8;70;null;
2000-04-30;14;null;null;null;249,5;4,9;6;30;966,8;32,1;27,8;null;67;5;2,1;70;null;
2000-05-31;14;null;null;null;279,1;3,8;1;,2;968,5;31,5;27,4;null;62,6;6;2,6;70;null;
2000-06-30;14;null;null;null;243,6;3,6;2;,8;969,4;30,9;26,7;null;59,6;6,8;2,6;70;null;
2000-07-31;14;null;null;null;266,9;2,6;0;0;968,8;31,3;26,5;null;57,3;5,8;2,4;70;null;
2000-08-31;14;null;null;null;288,9;2,5;0;0;969,6;31,9;26,9;null;54,6;6;2,6;70;null;
2000-09-30;14;null;null;null;266,7;3,1;1;,6;968,1;33;23,2;null;53,2;6,6;2,9;70;null;
2000-10-31;14;372;null;null;302,3;2,7;0;0;967,4;34,5;27,7;22,6;49,1;6,3;2,5;70;null;
2000-11-30;14;208,1;null;null;225,3;5;11;287,2;966;31,5;26,4;22,1;67,8;6,6;1,9;70;null;
2000-12-31;0;159,5;null;null;166,1;5,3;10;215,7;966,8;30,7;25,8;21,3;71,9;5;1,5;70;null;
2001-01-31;14;199,8;null;null;260,7;4,7;5;29,1;967,3;32;26,7;22;64,3;5,6;1,5;48,8;null;
2001-02-28;0;149,7;null;null;167,8;5,3;6;85,4;966,3;31,9;25,9;19,7;68,5;5,5;1,2;48,3;null;
2001-03-31;0;141,2;null;null;213,8;5,2;10;83,4;967,4;31,3;26,1;21,3;72,1;5;1,3;48,3;null;
2001-04-30;14;212,2;null;null;259,5;4,4;1;1;967,4;33,2;27,1;21,5;60,6;5,6;1,8;48,3;null;
2001-05-31;14;217,7;null;null;287,2;3,4;2;4,2;967,2;33,6;27,2;20,9;59,6;5;1,7;48,3;null;
2001-06-30;14;240,3;null;null;242,6;3,7;3;1,9;969,5;31,2;25,5;20,1;62,6;5,5;1,9;48,3;null;
2001-07-31;14;306,8;null;null;290,9;2,9;1;,6;969,8;31,3;25,4;19,7;55,1;6;2,6;48,3;null;
2001-08-31;14;348,9;null;null;318,3;2,8;0;0;971,4;31,1;25,2;20;53,6;6,6;3;48,3;null;
2001-09-30;14;350,2;null;null;316,8;2,4;0;0;967,8;33,8;27,4;21,5;50,2;6,5;2,5;48,3;null;
2001-10-31;14;405;null;null;307,6;3,5;1;,8;966,8;35,5;29,2;23,2;46,5;7,1;2,3;48,3;null;
2001-11-30;14;373,9;null;null;292,3;4,5;4;53,3;965,7;35,7;29,5;23,8;47,8;6,5;2,2;47,8;null;
2001-12-31;14;313,6;null;null;239,5;4,8;7;75,9;965,5;33,4;28,4;24,3;57,3;6,6;2,3;48,3;null;
