Nome: SAO GONCALO
Codigo Estacao: 82689
Latitude: -6.83583333
Longitude: -38.31166666
Altitude: 237.04
Situacao: Operante
Data Inicial: 2000-01-01
Data Final: 2024-06-01
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2000-01-31;9;183;null;null;273,3;5,5;16;195,6;982;32,1;26;22,2;73,5;4,6;1,7;69;null;
2000-02-29;9;182,4;null;null;251,9;6,3;19;322,4;983,4;32,5;25,9;21,9;73,2;4,6;1,6;69,7;null;
2000-03-31;5;184,1;null;null;244,1;5,9;19;206,7;982,5;31,6;25,8;22,3;75,3;7,5;1,7;70;null;
2000-04-30;9;168,6;null;null;268,8;5,5;17;157;983,4;31,3;25,5;21,8;75,9;3,8;1,6;69,7;null;
2000-05-31;14;181,2;null;null;267,8;4,7;9;59,8;984,5;31,9;25,6;20,8;66;6;2,1;70;null;
2000-06-30;null;169;null;null;229;null;8;35,4;null;32;null;21;null;null;null;null;null;
2000-07-31;null;192,8;null;null;246,6;null;8;63;null;31,9;null;19,5;null;null;null;null;null;
2000-08-31;null;233,8;null;null;274,7;null;4;29,9;null;33;null;20,3;null;null;null;null;null;
2000-09-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2000-10-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2000-11-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2000-12-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2001-01-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2001-02-28;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2001-03-31;null;176,3;null;null;264,8;null;18;358,7;null;32,3;null;22,1;null;null;null;null;null;
2001-04-30;null;181,6;null;null;227,8;null;9;63,3;null;32;null;22,4;null;null;null;null;null;
2001-05-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2001-06-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2001-07-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2001-08-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2001-09-30;null;null;null;null;null;null;0;0;986,3;null;null;null;null;5,7;null;null;null;
2001-10-31;9;273,3;null;null;286,6;4,3;2;17,1;985,6;35,5;27,8;22,7;53,7;8,3;2,7;51,8;null;
2001-11-30;9;null;null;null;null;4,6;0;0;984,2;36;28,6;23,8;58,3;5,2;2,7;95,7;null;
2001-12-31;9;null;null;null;null;5,9;8;107,2;983,8;35,1;28,7;23,8;58,3;6,2;3;96,5;null;
2002-01-31;9;null;null;null;null;7,4;26;351,4;985,8;30,7;25,1;22,2;84,1;4,7;1,5;96,5;null;
2002-02-28;9;null;null;null;null;5,1;11;115,2;985,6;31,6;25,5;22;79,2;6,7;2,1;96,5;null;
2002-03-31;9;null;null;null;null;6,4;16;218,5;985,7;31,7;25,5;22,2;81,3;4,6;1,8;96,6;null;
2002-04-30;14;null;null;null;213,8;6;9;152,2;985;31,1;25,5;21,9;82,4;5,1;1,6;96,6;null;
