Nome: SAO JOAO DO PIAUI
Codigo Estacao: 82879
Latitude: -8.365
Longitude: -42.25027777
Altitude: 237.02
Situacao: Operante
Data Inicial: 2000-01-01
Data Final: 2024-06-01
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2000-01-31;14;107;null;null;229,2;6,1;11;210;982,7;31,4;25,9;21,9;78;4,6;1,7;47,3;null;
2000-02-29;14;84,6;null;null;183,8;6,5;17;145,1;984,2;31,3;25,4;21,6;81;8;1,6;47,9;null;
2000-03-31;14;102;null;null;206,7;6;12;84,9;983;31;25,5;21,5;77,5;6;1,8;47,3;null;
2000-04-30;14;107,3;null;null;220,8;6,4;11;89;983,9;32,4;26,2;22,1;73,3;5,1;2;47,8;null;
2000-05-31;14;188,6;null;null;271,3;4,7;4;41;984,8;33,4;26,4;21,3;61,5;6,5;2,5;47,3;null;
2000-06-30;14;255,2;null;null;269,1;4,8;2;1,9;null;33,2;26,6;21,5;52,7;null;null;6,1;null;
2000-07-31;14;340,4;null;null;289,4;3,3;1;12,2;null;33,3;26,8;21,6;45,6;null;null;6,1;null;
2000-08-31;14;398;null;null;311,1;2,9;0;0;null;34,7;28,1;22,4;39,4;null;null;5,9;null;
2000-09-30;9;395,7;null;null;246;4;1;,2;null;35,6;29,3;24,1;38,7;null;null;6,1;null;
2000-10-31;14;null;null;null;null;3,8;3;7,1;null;36,5;30,1;24,3;36,8;null;null;6,1;null;
