Nome: SAO LUIS
Codigo Estacao: 82280
Latitude: -2.52666666
Longitude: -44.21361111
Altitude: 32.58
Situacao: Operante
Data Inicial: 2000-01-01
Data Final: 2024-06-01
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA AO NIVEL DO MAR, MEDIA MENSAL(mB);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2000-01-31;null;50,4;null;null;143,5;7;19;267,1;null;1003,4;30,2;26,3;23,2;83,9;null;null;70;
2000-02-29;null;47,2;null;null;109,5;7,3;24;392,1;null;1004,8;29,9;25,9;22,9;85,7;null;null;69,7;
2000-03-31;null;41,7;null;null;98,1;7,9;27;606;null;1003,5;30,3;25,9;22,8;86,7;null;null;69,9;
2000-04-30;null;37,6;null;null;100,1;7,9;27;609,6;null;1004,5;30,1;26;23,1;86,7;null;null;69,6;
2000-05-31;null;46,3;null;null;160,9;7,2;29;422,2;null;1005;31,2;26,5;23,4;84,6;null;null;69,8;
2000-06-30;null;56,2;null;null;229,2;5,7;16;146,1;null;1005,8;31,3;26,5;23,1;82,4;null;null;69,9;
2000-07-31;null;55,6;null;null;177,6;6,7;21;202,1;null;1005,7;30,6;25,9;23;85,7;null;null;69,9;
2000-08-31;null;71,9;null;null;258,1;4,8;10;63,9;null;1006,1;31,3;26,4;23,1;85,7;null;null;61,6;
2000-09-30;null;117,4;null;null;247,5;5,1;5;12,6;null;1005;31,5;27,1;24,3;83,5;null;null;60;
2000-10-31;null;121,4;null;null;266,9;4,8;0;0;null;1005,3;31,9;27,3;24,5;80,8;null;null;59,5;
2000-11-30;null;107,5;null;null;268,5;4,1;1;,2;null;1003,1;32,3;27,4;24,2;78,4;null;null;60;
2000-12-31;null;96,9;null;null;235,4;5,3;6;43,3;null;1004,4;31,6;27,2;24,2;82,3;null;null;59,9;
2001-01-31;null;54;null;null;126,3;7,8;22;336,2;null;1005,1;29,8;25,8;22,9;89,1;null;null;58,9;
2001-02-28;null;34,9;null;null;115,1;8,3;25;445,4;null;1004,3;29,3;25,5;22,8;89,6;null;null;58,3;
2001-03-31;null;45,1;null;null;141;8,3;23;370,7;null;1004,8;30,2;26,1;23,2;88,7;null;null;58,7;
2001-04-30;null;34,1;null;null;101,7;8,4;27;590,1;null;1005,2;29,8;25,7;22,9;90,9;null;null;58,9;
2001-05-31;null;55,3;null;null;215;6,2;16;201,8;null;1005,1;31,2;26,8;23,4;87,5;null;null;59,8;
2001-06-30;null;44,2;null;null;173,1;7,1;24;327,2;null;1006,5;31,1;26;22,4;88,8;null;null;59,3;
2001-07-31;null;56,8;null;null;231;5,5;16;150,2;null;1006,6;31,4;26,2;22,8;87,2;null;null;59,7;
2001-08-31;null;86,6;null;null;279,9;4;2;,5;null;1006,8;32,2;26,4;22,6;78,9;null;null;60;
2001-09-30;null;101,6;null;null;251;4,7;3;7,4;null;1005,5;31,8;27;23,9;79,8;null;null;60,2;
2001-10-31;null;null;null;null;259,3;4,6;0;0;1011,2;1005,4;32,3;27,4;24,1;79,8;4,8;null;90,8;
2001-11-30;5;null;null;null;232,3;5,5;3;6,1;1010,4;1004,6;32,3;27,8;24,6;78;4,5;3,1;58,2;
2001-12-31;9;103,8;null;null;239,9;4,9;4;44;1009,4;1003,7;31,6;27,8;25,2;80,8;5;3,1;60,1;
2002-01-31;5;58,9;null;null;127;7,9;20;345,6;1011,3;1005,5;30,7;26,5;23,3;86,2;4,3;1,7;58,9;
2002-02-28;9;60,5;null;null;179,6;6,5;17;83,4;1011,1;1005,3;31,5;27,2;23,8;84,1;4,5;2,1;56,9;
2002-03-31;5;47,5;null;null;127,7;7,8;23;314,1;1011,1;1005,3;30,5;26,2;23;87,7;4,6;1,7;59;
2002-04-30;9;36,3;null;null;108,7;8,5;26;489,3;1010,7;1004,8;30,3;26,2;23,4;88,9;4,1;1,4;57,2;
2002-05-31;9;51,1;null;null;194,3;6,8;18;295,4;1011,4;1005,6;31,5;27;23,6;87;4,1;1,7;58,7;
2002-06-30;9;46;null;null;170,4;6,7;17;237;1013,2;1007,3;31,3;26,4;22,9;87,6;4,1;1,5;59,6;
2002-07-31;5;64,7;null;null;266;5,1;10;42,3;1013,8;1008;31,5;26,6;23,2;85,3;4,1;2,1;59,9;
2002-08-31;5;79,9;null;null;271,1;4,5;5;4,6;1012,6;1007;32,1;26,8;23;79,6;4,6;2,5;60;
2002-09-30;5;99,7;null;null;273,6;4,4;0;0;1012,6;1006,7;32,1;27;23,6;78,3;5,3;3;60;
2002-10-31;5;110,1;null;null;258,7;4,6;0;0;1011;1005,2;32,5;27,5;24,2;77;5;3,2;60;
2002-11-30;5;109,5;null;null;252,1;4,9;2;29,3;1011,2;1005,4;32,6;27,6;24,1;77,8;5;3,2;59,3;
2002-12-31;5;96,9;null;null;235,9;5,5;7;47,4;1011,3;1005,5;32,5;27,9;24,7;80,3;5;3;59,9;
2003-01-31;5;83,7;153,5;153,5;187;6,7;15;359,1;1011,9;1006,1;31,1;27,2;24,1;83,8;5;2,7;59,6;
2003-02-28;5;39,8;122,4;122,4;73,3;8,9;24;491,1;1011,4;1005,6;30,3;26,3;23;88,3;4,5;1,8;58,9;
2003-03-31;36;41,1;129,3;129,3;96,2;8,6;28;570,2;1011,3;1005,4;30;26;23;89,1;5;1,6;58,8;
2003-04-30;5;47,2;131,4;131,4;123,4;8,1;26;428,8;1011,5;1005,7;30,7;26,4;23,1;88,5;4,1;1,7;59,1;
2003-05-31;9;57,2;144,5;144,5;188,5;6,6;18;207,7;1011,8;1006;31,6;26,9;23,3;86,8;3,3;1,6;59,7;
2003-06-30;9;52,3;134;134;213,1;6,1;18;148;1012,2;1006,4;31,5;26,6;23;85,7;3,8;1,6;59,4;
2003-07-31;9;67,2;138,6;138,6;241,4;5,6;13;64,6;1013,6;1007,7;31,9;26,6;22,6;84,3;3,6;1,6;59,9;
2003-08-31;9;80;141,1;60,4;267;5,3;4;34,4;1013,5;1007,7;31,6;26,7;22,7;82,6;4,5;2,3;59,6;
2003-09-30;5;94,3;null;null;261;4,4;3;5,9;1012,4;1006,6;32,4;null;null;78;5;2,8;59,9;
2003-10-31;5;104,1;null;null;252,2;5,2;1;,2;1010,9;1005,1;32,6;27,8;25,2;75;4,5;3;60;
2003-11-30;5;99,1;null;null;240;5,3;3;4,7;1010,1;1004,3;32,4;27,9;25;76;5;2,9;60;
2003-12-31;5;87,9;null;null;200,9;5,5;7;55,8;1010,7;1004,8;32;27,8;24,9;77,9;4,8;2,9;60;
2004-01-31;5;54,7;null;null;null;7,4;21;445,7;1010,5;1004,7;30,3;26,7;24,2;84,6;4,6;2,1;59,2;
2004-02-29;5;33;null;null;93,2;8,6;24;485,4;1011,4;1005,7;30;26,2;23,5;88,2;4,1;1,6;58,5;
2004-03-31;5;41,6;null;null;128,7;7,9;23;388;1010,7;1004,8;30,7;26,7;23,9;86,5;4,5;1,7;58,9;
2004-04-30;5;36,2;null;null;135;7,6;22;452,9;1011;1005,2;30,6;26,6;23,7;86,9;3,3;1,4;58;
2004-05-31;5;50,4;null;null;null;6,2;18;183,5;1011,8;1006;32,1;27,2;24;85,5;3,3;1,6;59;
