Nome: SENHOR DO BONFIM
Codigo Estacao: 83088
Latitude: -10.443072
Longitude: -40.148244
Altitude: 532.09
Situacao: Desativada
Data Inicial: 2000-01-01
Data Final: 2011-07-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2000-01-31;14;165,5;null;null;206,9;6,4;12;138,1;948,6;30,4;24,9;21;68,5;7;2,9;78,6;null;
2000-02-29;14;162,2;null;null;197;5,6;10;86,1;950,2;30,9;25,2;21,2;67,1;7;3,1;79,2;null;
2000-03-31;14;182,4;null;null;189,8;6,4;12;90,5;949,5;30,6;25,1;21,2;65,7;7;3,1;79,4;null;
2000-04-30;14;141,3;null;null;170,6;7,2;16;181;951,2;29,4;24,4;21;73,1;7;3,7;73,2;null;
2000-05-31;14;120;null;null;174,1;6,3;17;84,5;952,2;27,9;23;19,8;75,4;7;3,2;69,1;null;
2000-06-30;14;102,8;null;null;123,2;7,4;15;67,9;953,6;25,7;21,6;18,9;79,5;7;3,8;60;null;
2000-07-31;14;160,4;null;null;180,3;6,4;13;33,9;953,5;26,6;21,6;18,2;70,5;7;3,9;71,4;null;
2000-08-31;14;147,8;null;null;155,2;6,5;18;35,7;954,9;26,8;21,6;18,3;70,9;7;3,6;67,7;null;
2000-09-30;14;191,2;null;null;167,3;6,2;18;51,7;953,3;28,4;22,8;19;66,4;7;4,4;73,3;null;
2000-10-31;14;273;null;null;239;4,3;4;32,3;952,5;31,1;24,9;20;52,9;7;4;83,6;null;
2000-11-30;14;162;null;null;182,2;6,1;15;117,1;950;29,9;24,6;20,8;67,4;7;2,5;76,4;null;
2000-12-31;14;166,8;null;null;185,1;5,5;8;66,2;950,7;29,8;24,7;20,8;66,2;7;2,4;74,9;null;
2001-01-31;14;221;null;null;238,4;5,7;6;34,6;952;31;25,3;20,6;57,2;7;3,9;73,6;null;
2001-02-28;14;254,8;null;null;206,7;5,5;3;16,2;950,1;33,1;26,9;21,8;50,5;7;3,3;75;null;
2001-03-31;14;193;null;null;189,5;6,3;12;129,9;951,3;31;25,6;21,6;62,5;7;2,7;73,2;null;
2001-04-30;14;213,3;null;null;202,6;6;6;5,3;951,9;30,7;25,3;21,1;59,7;7;4,1;75,5;null;
2001-05-31;14;194,4;null;null;226,1;4,6;8;39,9;951,8;30,9;25,2;21,3;59,5;7;2,4;72,9;null;
2001-06-30;14;100,7;null;null;125,7;7,3;19;145,1;954,5;25,8;21,7;19,2;77,8;7;4,3;58,4;null;
2001-07-31;14;103,4;null;null;145,4;7;20;55,8;954,9;25,6;21,1;18,2;75,9;7;4;58,9;null;
2001-08-31;14;136,2;null;null;165,3;7,5;20;69,6;956,3;25,7;20,8;17,7;76,6;7;4,6;58,3;null;
2001-09-30;14;140;null;null;188;5,5;14;44;953;28,3;22,6;18,5;68,1;7;3,5;66;null;
2001-10-31;14;193,2;null;null;215,8;4,9;8;35,7;951,7;31;24,8;19,8;58,8;7;3,9;71;null;
2001-11-30;14;243,1;null;null;252,7;3,9;2;1,4;949,8;33;26,7;20,5;47,2;7;3,6;75,7;null;
2001-12-31;14;198;null;null;189,8;6;9;75,2;949,8;31,5;25,9;21,6;59,5;7;3,3;74,5;null;
2002-01-31;0;88;null;null;148,1;7,2;21;205,6;950,1;28,4;23,9;20,8;75,8;7;2,2;73,5;null;
2002-02-28;14;118,7;null;null;204,6;5,8;9;91,1;950,7;29,8;24,6;20,8;66;7;3;76,6;null;
2002-03-31;14;155,4;null;null;209,3;5,8;10;17,2;950,6;30,7;25,3;21;64,2;7;3,6;77,8;null;
2002-04-30;14;155,6;null;null;189,7;6;12;19,4;950,8;30,5;25;20,6;61,6;7;3,8;78,2;null;
2002-05-31;14;99,3;null;null;185,8;5,5;9;65,3;952,6;28,3;23,3;19,6;69,1;7;3,2;77,5;null;
2002-06-30;14;77,6;null;null;119,2;7,9;21;66,1;955,2;26,5;21,9;18,8;75,5;7;4,2;64,4;null;
2002-07-31;14;106,5;null;null;159,7;6,6;20;38,1;955,4;26,8;21,9;18,4;72,9;7;3,7;64,8;null;
2002-08-31;14;148,8;null;null;203,1;6,2;19;40,8;955,5;27,7;22,1;17,9;64,9;7;4,4;67,6;null;
2002-09-30;14;176,8;null;null;196,9;5,3;6;22,5;953,9;30,1;23,9;18,8;58,6;7;4;71,6;null;
2002-10-31;14;253,6;null;null;260,3;3,7;2;,7;952,4;32;25,6;19,8;48;7;4,2;76;null;
2002-11-30;14;222,8;null;null;231;4,5;6;19,2;951,9;32,8;26,1;20,3;50,8;7;3,3;74,4;null;
