Nome: SERIDO (CAICO)
Codigo Estacao: 82690
Latitude: -6.46749999
Longitude: -37.08499999
Altitude: 171.26
Situacao: Operante
Data Inicial: 2000-01-01
Data Final: 2024-06-01
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2000-01-31;null;null;null;null;null;null;null;0;null;null;null;null;null;null;null;null;null;
2000-02-29;9;133,2;null;null;225,6;5,7;null;185;992,6;34;27,6;23,1;72,1;5,8;2,6;70;null;
2000-03-31;9;145,2;null;null;216,8;5,8;null;129,6;991,4;34;27,6;23;71,7;6,3;3;70;null;
2000-04-30;9;103,1;null;null;217,5;5,7;17;176,8;992,3;33;27;22,8;76,7;6,5;2,7;70;null;
2000-05-31;9;174,6;null;null;199,5;4;null;1,7;993,2;34,4;27,9;22,4;62;7,5;4;70;null;
2000-06-30;null;199,3;null;null;157,7;null;null;37,6;null;33,3;null;22,1;null;null;null;null;null;
2000-07-31;null;197,5;null;null;146,6;null;null;37,8;null;32,7;null;21,5;null;null;null;null;null;
2000-08-31;null;227,7;null;null;229,9;null;null;66,9;null;32,9;null;21,2;null;null;null;null;null;
2000-09-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2000-10-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2000-11-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2000-12-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2001-01-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2001-02-28;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2001-03-31;null;237,2;null;null;237,7;null;16;147,6;null;35,4;null;23,4;null;null;null;null;null;
2001-04-30;null;171,6;null;null;187,5;null;11;91;null;33,1;null;23,3;null;null;null;null;null;
2001-05-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2001-06-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2001-07-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2001-08-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2001-09-30;null;null;null;null;null;null;0;0;993,8;null;null;null;null;7,8;null;null;null;
2001-10-31;9;365,9;null;null;252,9;3,5;4;7;992,8;36,6;29,5;23,6;55,8;8,5;4,5;63,8;null;
2001-11-30;5;null;null;null;null;3,4;0;0;991,7;37,4;30,1;24,4;55,7;7,8;4,5;96,8;null;
2001-12-31;5;null;null;null;null;4,6;4;15,2;990,8;36,8;29,8;24,6;59,4;7,8;4,9;97,3;null;
2002-01-31;5;null;null;null;null;6,3;22;218,5;992,2;33,1;27,2;23,2;80,6;6,2;2,6;97,4;null;
2002-02-28;5;null;null;null;null;5,3;10;28,9;992,5;33,3;27,1;22,7;76,6;9;3;97,3;null;
2002-03-31;9;null;null;null;null;5,7;14;154,9;992,4;33,3;27,1;22,8;80,9;5,2;2,4;97,3;null;
2002-04-30;14;null;null;null;220,4;6,1;9;151,1;992;33,1;27;23;80,5;6,2;2,3;97,2;null;
2002-05-31;9;null;null;null;190,2;5,4;9;66;993,3;33,2;27,1;22,8;77,6;5,7;2,7;97,3;null;
2002-06-30;9;null;null;null;152,2;5,1;2;11;995,3;32,5;26,5;21,5;73,1;6,2;3,4;97,3;null;
2002-07-31;9;null;null;null;223,9;4;3;1,8;995,7;34,1;27,5;21,7;64,7;7,2;4,1;97,4;null;
2002-08-31;9;null;null;null;257,3;3,1;0;0;995,4;34,2;27,5;21,5;58,5;7,7;5,1;97,4;null;
2002-09-30;9;null;null;null;292,3;2,6;0;0;994,1;36,2;28,5;22;49,9;9,3;4,9;97,4;null;
