Nome: SERRINHA
Codigo Estacao: 83190
Latitude: -11.66805554
Longitude: -39.00194444
Altitude: 362.39
Situacao: Fechada
Data Inicial: 2000-01-01
Data Final: 2024-06-01
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2000-01-31;9;null;null;null;214,2;7,3;8;60;970;31,6;25,6;21,7;73;5;2,7;69;null;
2000-02-29;9;null;null;null;210;7,2;11;82,1;971,2;32,1;26;22;71,6;5,5;2,9;66,5;null;
2000-03-31;9;null;null;null;206,4;7,1;6;41,6;970,5;31,3;25,5;21,7;73;5;2,7;66,4;null;
2000-04-30;14;null;null;null;172;7,9;12;88;971,8;30;24,6;21,5;79,9;5,5;2,5;62,3;null;
2000-05-31;18;null;null;null;181,9;7,6;17;96;973,1;28,5;23,5;20,3;82,1;4,5;2,4;60,8;null;
2000-06-30;18;null;null;null;128,7;7,9;17;84,2;974,9;26,4;22;19,4;85;6;2,3;56,6;null;
2000-07-31;14;null;null;null;149;6,5;15;37,4;974,7;26,5;21,3;18,2;86,4;5,5;2,2;64,5;null;
2000-08-31;14;null;null;null;148,8;7,4;18;64,8;975,6;26,6;21,5;18,6;86,4;4,8;2,6;59,1;null;
2000-09-30;14;null;null;null;152,9;7,6;13;97,1;974,4;27,3;22,3;19,2;81,8;5,5;3;62,1;null;
2000-10-31;9;null;null;null;239,9;5;6;15,3;973,5;30,6;24,1;20;71,7;5,5;3,5;70,3;null;
