Nome: SOBRAL
Codigo Estacao: 82392
Latitude: -3.74833333
Longitude: -40.34583333
Altitude: 91.8
Situacao: Fechada
Data Inicial: 2000-01-01
Data Final: 2020-08-30
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2000-01-31;36;87,9;null;null;221,8;6,5;18;208,7;997,3;31,8;26,1;22,4;82;3,4;1;62,7;null;
2000-02-29;36;67,3;null;null;178,2;7,1;19;140,4;998,7;31,9;25,8;22,3;83,5;3,6;,9;63,1;null;
2000-03-31;5;59,3;null;null;175,7;6,4;20;178,3;997,5;31,3;25,8;22,4;86,5;5;1;63,1;null;
2000-04-30;0;51,6;null;null;204,6;6,3;23;314,7;998,5;30,9;25,5;22,4;86,9;3,3;,7;63,3;null;
2000-05-31;9;67,4;null;null;215,6;5,2;13;56;999,3;31,1;25,7;22,1;83,4;5,1;,7;63,3;null;
2000-06-30;9;107,3;null;null;219,5;4,7;8;59,4;1000,1;31,9;25,6;20,9;75,7;5,6;,9;63,3;null;
2000-07-31;36;128,9;null;null;230,1;5,3;9;63,4;null;33,4;26,4;21,6;69,8;null;null;7,8;null;
2000-08-31;5;196;null;null;256,3;4,1;3;12,5;null;34,3;26,8;21,1;61,9;null;null;7,4;null;
2000-09-30;5;null;null;null;267,7;4;null;0;null;35,8;27,9;22,5;60,6;null;null;7,3;null;
2000-10-31;5;null;null;null;292;3,7;0;0;null;36,3;28,1;22,4;56,9;null;null;7,5;null;
2000-11-30;5;null;null;null;262,2;4;1;5,7;null;36,1;28;21,9;55,6;null;null;8;null;
2000-12-31;5;null;null;null;248,6;4,7;6;55,2;null;35;27,7;22,3;59,2;null;null;8;null;
2001-01-31;36;null;null;null;181,8;6,6;15;136,9;null;33,9;27,2;22,5;67,2;null;null;8;null;
2001-02-28;36;null;null;null;158,4;7,2;17;247,6;null;31,9;26,2;22,2;79,3;null;null;7,8;null;
2001-03-31;36;70,3;null;null;187,7;7,1;21;183,1;null;31,8;26,2;22,7;82,4;null;null;7,9;null;
2001-04-30;0;48,1;null;null;136,8;8;23;383;null;30,2;25,5;22,5;87,5;null;null;7,9;null;
2001-05-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2001-06-30;14;null;null;null;222,9;4,5;6;34,6;null;32,6;25,9;21;71,4;null;null;8;null;
2001-07-31;36;null;null;null;253,3;4,9;4;1;null;34,6;27;21;59,2;null;null;8;null;
2001-08-31;9;null;null;null;305,4;2,6;1;1,6;null;35,7;27,5;20,9;54,4;null;null;14,8;null;
2001-09-30;9;null;null;null;286,3;3,4;1;,3;1001,6;36,5;27,9;22,4;57,2;3,1;null;41;null;
2001-10-31;5;297,4;null;null;279,1;3,5;0;0;1000,7;36,3;28,3;22,4;53,8;5,5;2;73,2;null;
2001-11-30;36;null;null;null;231,7;4,7;0;0;999,8;36,5;28,3;22,7;61,6;5,7;2;96,3;null;
2001-12-31;5;null;null;null;241,5;4,8;5;6,2;998,9;35,9;28,9;23,4;63,3;6,2;2,7;91,1;null;
2002-01-31;9;null;null;null;146,7;7,6;13;301;1000,9;31,6;26,3;22,7;83;5,7;1,4;95;null;
2002-02-28;9;null;null;null;215,8;4,7;7;16,4;1000,7;32,4;26,4;22,4;81,5;3,1;1,1;96,9;null;
2002-03-31;9;null;null;null;182;7,1;20;267,2;1000,8;31,2;25,8;22,3;87,8;2,6;,8;97;null;
2002-04-30;36;null;null;null;166,5;6,9;17;103,6;1000,2;30,3;25,6;22,5;88,1;5,7;,8;97,9;null;
2002-05-31;9;null;null;null;236,2;5,6;12;61,9;1001,4;31,5;25,8;21,8;83,9;3,1;,8;97;null;
2002-06-30;9;null;null;null;217,4;5,4;8;41;1003,3;32,2;25,9;21,4;77,6;3,1;,9;97,9;null;
2002-07-31;9;174,6;null;null;252,2;4,5;7;21,8;1003,5;34;26,5;20,8;65,9;3;,7;72,6;null;
2002-08-31;9;null;null;null;301,8;2,9;0;0;1002,5;35,5;27,5;21;59,7;5,7;1,8;96,5;null;
2002-09-30;9;null;null;null;276,7;2,7;0;0;1002;36,2;27,5;21,6;58;8,2;1,9;97;null;
2002-10-31;9;null;null;null;290,6;3;0;0;1000,3;36,5;28,1;22,6;57,3;10,3;1,8;97;null;
2002-11-30;5;271;null;null;272,6;3,4;1;,3;1000,4;36,5;28,2;22,4;57,7;5,5;1,7;73,2;null;
2002-12-31;5;null;null;null;251;4,3;2;,7;1000,4;36,5;28,8;23,5;60,4;5,5;2,3;72,7;null;
2003-01-31;36;201,2;163,1;163,1;204,9;5,7;12;68,8;1001,2;34,9;27,6;23;68,9;5,5;1,3;72,5;null;
2003-02-28;36;76,6;111,6;111,6;118,3;7,5;18;277,3;1000,9;30,8;25,9;22,8;86,5;3,3;,9;72,6;null;
