Nome: STa. R. DE CASSIA (IBIPETUBA)
Codigo Estacao: 83076
Latitude: -11.00277777
Longitude: -44.52499999
Altitude: 450.01
Situacao: Fechada
Data Inicial: 2000-01-01
Data Final: 2021-12-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2000-01-31;9;null;null;null;186,8;6,6;13;259,8;959,3;31,1;24,5;18,5;78,9;5,1;1,5;76,5;null;
2000-02-29;9;null;null;null;202,8;6,5;17;274,2;961;30,8;24,6;19,9;79,8;5,1;1,5;74,9;null;
2000-03-31;9;null;null;null;249,8;6;14;81,6;959,9;30,6;24,6;20,1;78,5;6,8;1,5;75,9;null;
2000-04-30;14;null;null;null;249;5,7;8;66,5;961,2;30,9;24,6;20,3;77,7;3,6;1,3;77;null;
2000-05-31;9;null;null;null;260,9;4,8;3;2,1;962,3;30,9;23,7;18;70,9;4,3;1,5;77;null;
2000-06-30;9;111,1;null;null;288,1;3;0;0;962,7;30,9;22,7;15,8;66,3;3,8;1,6;77;null;
2000-07-31;14;193,2;null;null;281,2;3,7;0;0;962,5;31,6;22,8;14,7;56,8;4;1,4;77;null;
2000-08-31;14;261,7;null;null;11,1;3,7;1;,4;962,7;33,3;24,3;15,2;47,2;4,6;1,8;77;null;
2000-09-30;14;267,9;null;null;285,3;4,8;3;17,3;960,7;34,2;26,1;18,2;47,3;6;2,1;77;null;
2000-10-31;14;321,8;null;null;272,6;4,9;4;31,2;960,2;35,9;27,3;18,8;45;4,6;2;77;null;
2000-11-30;9;164,5;null;null;214,3;6,5;14;316,6;958,9;31,9;25,3;19,3;70,4;5;1,8;76,4;null;
2000-12-31;14;101,7;null;null;176,5;7,5;18;319,2;960,1;30,6;24,7;19,9;80,9;7;1,8;54,1;null;
2001-01-31;14;108,9;null;null;266,3;6;8;86,8;961,2;31,2;24,5;18,6;71,5;3,6;1,6;53,6;null;
2001-02-28;9;116,9;null;null;214,2;6,4;8;118,9;959,9;32,3;25,2;19,5;72,3;6,3;1,6;53;null;
2001-03-31;9;108,5;null;null;210,3;6,2;13;155;960,6;31,2;24,8;19,3;75,4;4;1,4;75,9;null;
2001-04-30;9;103,9;null;null;217,5;6,1;5;51,1;960,9;32;24,7;18,3;69,2;4,3;1,6;53,7;null;
2001-05-31;27;125,1;null;null;null;5,7;3;25,3;961,3;33;24,8;17,9;65,9;6,1;1,3;50,2;null;
2001-06-30;9;205,8;null;null;288,1;4;0;0;965,1;32,5;23,8;15,6;52,1;5;1,8;43,3;null;
2001-07-31;9;274,8;null;null;4,4;4;0;0;965;32,8;23,9;14,8;58,3;5;1,8;43,8;null;
2001-08-31;9;293,2;null;null;4,7;4,3;0;0;966,6;32,5;24,2;15,4;54,5;5;2,1;43,3;null;
2001-09-30;9;311,4;null;null;283,9;5,1;2;4,7;962,6;35,6;27,1;18,9;56,6;5;2,1;43,3;null;
2001-10-31;9;230,3;null;null;203;6,3;12;125,6;962;34,1;27,1;21,4;63;4,5;1,9;43,9;null;
2001-11-30;9;160,7;null;null;211,8;6,8;11;141,2;960,7;33,1;26,5;21,6;64,3;4,3;1,9;43,2;null;
2001-12-31;9;117;null;null;215;6,9;18;238,4;961,2;32;25,6;21,1;75,6;4,3;1,8;43,3;null;
2002-01-31;null;null;null;null;null;null;0;0;null;null;null;null;null;null;null;null;null;
2002-02-28;9;134,8;null;null;259,4;5,9;5;36,4;961,8;32,9;25,8;19,7;79,6;4,5;1,8;45,2;null;
2002-03-31;9;154,4;null;null;254,3;6,2;5;51,8;961,4;33,2;26,1;20,3;76,3;4,6;2,2;43,3;null;
2002-04-30;9;147,2;null;null;261;6,1;6;74,9;960,9;32,6;25,4;19,6;72,1;4,6;1,5;43,2;null;
2002-05-31;9;194,9;null;null;279,1;5,4;3;10,2;962,1;33,3;25,2;17,8;62,3;3,3;1,4;43,3;null;
2002-06-30;9;245,6;null;null;280,8;3,8;0;0;964,3;32,5;23,8;15,2;64,5;3,6;1,6;43,3;null;
2002-07-31;9;271,9;null;null;106;3,3;1;,3;963,9;33,7;24,8;15,7;61,2;3,3;1,3;43,9;null;
2002-08-31;9;313,7;null;null;108;3,6;0;0;963,6;33,8;24,9;15,6;56,4;5,6;1,9;43,3;null;
2002-09-30;9;305,8;null;null;256,8;5,3;7;61,9;962,5;34,9;27;19,7;52,8;5;2,1;43,3;null;
2002-10-31;9;343,8;null;null;59;5,3;2;6,3;960,6;36,6;28,4;20,3;47,4;4,6;1,9;43,3;null;
2002-11-30;9;268,4;null;null;272,9;5,6;6;84;961,1;35,1;27,3;19,8;56,8;4,8;1,8;43,3;null;
2002-12-31;9;188;null;null;198,8;7,6;17;158,9;961,3;33,6;26,3;20,6;68,5;4;1,6;43,3;null;
2003-01-31;27;113,5;128,8;128,8;224;7,3;20;203,7;961,7;32,1;25,4;20,2;76,2;6,1;1,6;43,3;null;
2003-02-28;9;111,1;116,2;116,2;212,2;6,4;8;101,8;962;32;25,5;20,7;67,7;4,3;1,4;43,3;null;
2003-03-31;9;107,2;125,8;125,8;221,8;7;15;156,9;961,4;31,7;25,6;21,2;70,2;4,6;1,5;43,3;null;
2003-04-30;9;138,4;125,6;121,8;264,9;6,2;5;21,9;962,1;33,2;26;19,8;62,7;4;1,6;43,9;null;
2003-05-31;9;163;119,7;24,4;242,5;6,5;10;24,4;963,1;32,6;25,5;19,1;61,8;5,5;1,9;43,3;null;
2003-06-30;9;215,9;95,5;0;300,8;3,5;0;0;964;32,9;23,8;14,6;56,8;4,6;1,6;42,1;null;
2003-07-31;9;249,5;91,9;0;311;2,3;0;0;965,6;32,3;23,5;14,1;46,3;9,8;2,1;43,3;null;
2003-08-31;36;264,1;108,7;49,6;296,2;4,8;4;38,8;964,4;34;25,2;15,8;48,9;5,6;1,7;43,3;null;
2003-09-30;9;301,8;null;null;286,9;4,4;1;,9;962,8;35,2;26,5;17,3;44,7;4,3;2,2;42,8;null;
2003-10-31;9;300,7;null;null;274,5;5,8;6;40,9;961,1;36;28;19,8;46,1;4,3;2,1;43,9;null;
2003-11-30;9;216,9;null;null;248,7;6,2;8;51,3;959,7;34,6;27,4;20,7;52,6;5;1,9;42,8;null;
2003-12-31;9;215,9;null;null;262,3;6,7;14;50,8;960,5;35,5;27,8;21;56,1;5;1,8;43,3;null;
2004-01-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2004-02-29;9;92,6;null;null;178,2;6,8;15;146,9;962,3;30,7;24,9;19,2;65,6;18;1,4;44,2;null;
2004-03-31;9;94,7;null;null;199,5;7,3;15;323;961,6;30,7;24,6;18,8;66,1;4;1,2;44;null;
2004-04-30;9;129,8;null;null;269,7;5;1;1,3;961,8;32,2;25,4;18,4;66,9;4;1,3;42,8;null;
2004-05-31;9;185,9;null;null;287,3;4,8;1;,1;963;32,5;24,9;17,8;61,4;3,6;1,6;43,3;null;
2004-06-30;9;186,1;null;null;290,2;4,1;1;,3;965,5;31,7;23,4;15;55,3;4,3;1,7;43,3;null;
2004-07-31;9;216,7;null;null;304,9;3,5;0;0;964,3;32,3;23,6;14,6;48,3;3,6;1,6;43,3;null;
2004-08-31;9;253,9;null;null;311,6;2,5;1;,1;964,6;34,1;25,1;15,6;43,1;5,6;1,8;42;null;
2004-09-30;9;286,3;null;null;282,8;3,3;1;,3;962,6;35,3;26,5;17,2;37,5;4,6;1,9;42,8;null;
2004-10-31;null;null;null;null;null;null;4;null;960,7;36;28,7;21,9;47,2;5,1;null;null;null;
2004-11-30;9;243,1;null;null;221;6,6;11;253,3;959,9;35,7;28,1;21,4;54,8;5,3;1,8;44,3;null;
2004-12-31;9;156,5;null;null;264,4;6,2;9;86,4;960,5;33,3;26,5;21,2;68,4;5,3;1,5;44,2;null;
2005-01-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2005-02-28;9;81,8;null;null;190,5;7;14;180,7;960,7;31,2;25,6;21,4;73,9;4,5;1,5;43,3;null;
2005-03-31;9;77;null;null;218,2;7,3;17;155,5;961,9;31,3;25,7;21,9;74,5;6,6;1,4;43,3;null;
