Nome: SURUBIM
Codigo Estacao: 82797
Latitude: -7.839628
Longitude: -35.801056
Altitude: 421.44
Situacao: Operante
Data Inicial: 2000-01-01
Data Final: 2024-06-01
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2000-01-31;14;175,8;null;null;245,9;6,8;10;57,1;964,5;30,5;24,8;20,8;77,3;7,3;3,4;71;null;
2000-02-29;14;162,6;null;null;null;7;9;77;965,2;null;null;21,2;null;7,5;4,4;82,3;null;
2000-03-31;14;160,3;null;null;252,1;6,6;9;29,5;964,6;31,6;25,6;21;71,4;8,6;4,3;73,4;null;
2000-04-30;14;105,4;null;null;206,1;7,2;18;132,1;965,5;30;24,7;21;80,1;7,8;4;73;null;
2000-05-31;9;87,2;null;null;232;6,8;20;87,1;967,1;28,6;23,6;19,7;80,2;7;3,7;71,7;null;
2000-06-30;14;64,6;null;null;131,8;7,9;18;151,8;968,4;26,4;22,5;19,7;85,5;7,5;3,6;66;null;
2000-07-31;14;56,3;null;null;132,6;8,2;26;114,3;968,1;25,8;21,9;19,1;87,3;6,6;4;67,5;null;
2000-08-31;14;74,9;null;null;181,4;7,3;22;100,5;969,2;26,2;21,7;18,4;83,7;6,6;3,5;69,6;null;
2000-09-30;14;91,8;null;null;188,6;7,3;23;117,1;968,1;27,1;22,2;18,6;84;7,1;4,3;68,2;null;
2000-10-31;14;157,5;null;null;262,9;6,6;7;15,2;968,1;29;23;18,5;77,9;8,3;4,8;71,2;null;
2000-11-30;9;277,6;null;null;275,4;6,2;4;8,9;965,4;31,6;24,5;19,3;68,4;8,3;4,7;72,7;null;
2000-12-31;14;288,6;null;null;225,4;6,8;5;66,7;966,2;31,2;24,3;19,8;73,6;7,5;4,3;70,2;null;
2001-01-31;14;357;null;null;267,2;5,7;4;22,7;966,7;30,9;24,3;19,4;72;6,6;4,2;72,7;null;
2001-02-28;9;429,6;null;null;224,7;6,3;3;1;965,2;33;25,7;20,5;67,3;7;4,7;63,5;null;
2001-03-31;14;344,3;null;null;233;6,9;12;74,8;965,9;31,7;25,4;21,2;73;8;4,2;69,2;null;
2001-04-30;14;230,5;null;null;196,7;7,1;13;56,6;966,5;29,8;24,5;20,7;80,5;7,1;4,3;65,2;null;
2001-05-31;14;233;null;null;258,1;6;7;9,4;966,9;31,5;24,9;20,5;73,3;7,5;4;62,7;null;
2001-06-30;14;105,2;null;null;143,7;7,6;27;121;968,7;27,1;22,6;19;83,3;7,3;4,1;58,6;null;
2001-07-31;14;76,8;null;null;189,2;7,6;27;72,8;969,3;26,3;21,9;18,5;85,3;6,6;4,1;60,6;null;
2001-08-31;14;127,9;null;null;230,7;6,8;23;61,5;971;26,9;21,2;17;79,9;7,8;4,8;61,5;null;
2001-09-30;14;194,5;null;null;260,6;6,3;12;25;968,1;29,4;23;18,2;73,7;8,3;4,7;63,7;null;
2001-10-31;9;211,7;null;null;226;6,5;8;21,9;967,1;30,5;24,2;19,8;75;7,5;4,6;60,6;null;
2001-11-30;9;200,4;null;null;276,3;5,9;7;8,3;965,6;31,6;25;20,4;75,1;8,8;5,1;62,7;null;
2001-12-31;9;176,4;null;null;247,8;5,9;11;26,5;965;31,8;25,4;21,3;78,7;9,1;5;63,1;null;
2002-01-31;14;89,5;null;null;185,3;6,9;22;102,1;965,5;29,8;24,6;21;84;6,6;3,7;62,7;null;
2002-02-28;14;183,2;null;null;null;6,3;11;24,7;967,1;31,7;25,2;20,7;null;6,6;3,7;53,7;null;
2002-03-31;14;143,6;null;null;237,9;6,8;16;95,5;965,7;30,5;24,8;20,7;81,4;7;4,2;62,9;null;
2002-04-30;14;150,3;null;null;207,4;6,8;10;30,8;965;31,1;25,2;20,8;76,9;7,1;4,6;62,4;null;
2002-05-31;14;134,6;null;null;195,7;7,2;18;110,8;966,6;28,8;24;20,3;84,4;6,6;4,2;60,5;null;
2002-06-30;14;80;null;null;149,6;7,6;23;120,3;968,9;26,3;22,3;19,2;86,9;6,6;3,9;55;null;
2002-07-31;14;94,3;null;null;207,5;7;19;47,5;969,6;26,6;22;18,5;84,4;7,5;3,7;59,2;null;
2002-08-31;14;79,2;null;null;231,4;6,9;19;33,7;969,6;27,8;22;17,9;81;8,6;4,7;62,3;null;
2002-09-30;9;170,6;null;null;262,4;5,9;4;7,4;968,4;30,3;23,5;19,2;72;7,5;4,7;62,5;null;
2002-10-31;14;248,3;null;null;276,5;6,2;10;12,2;967,2;31,2;24,4;20;71,4;8,3;5,4;62,5;null;
2002-11-30;14;262;null;null;278,4;6;8;28,7;966,8;31,8;24,8;20,7;70,9;8,3;5;60,3;null;
2002-12-31;9;258,8;null;null;282,6;6,2;4;3,3;966,3;32,9;25,7;20,9;70,3;8,8;4,9;62,3;null;
2003-01-31;14;291,5;141,3;141,3;258,3;5,3;4;5,5;966,3;33,7;26,3;21,1;67,7;7;4,3;61,8;null;
2003-02-28;14;181,7;112,1;112,1;207,9;7,1;13;50,4;966,9;31,7;25,6;21,4;76,9;6,6;4,3;50,9;null;
2003-03-31;14;196,4;124,9;86,5;217,9;6,9;14;48,2;965,5;30,8;25,3;22;77,3;9,3;4,4;62,7;null;
2003-04-30;14;204,6;119,9;47,7;232,3;6,3;11;47,7;965,9;31,3;25,5;21,7;74,1;7;4,4;62,7;null;
2003-05-31;9;142,8;null;null;227,4;6,3;14;50,9;966,9;29,7;24,6;21,1;78,2;8,3;4,1;62,7;null;
2003-06-30;14;99,6;78;78;169,5;7;24;82,9;967,8;27,3;22,6;19,3;81,6;7;4,2;59,1;null;
2003-07-31;14;120,7;82,9;82,9;204,1;7,1;22;62;969,6;26,9;21,9;18,4;81,5;8,3;4,5;61,7;null;
2003-08-31;14;151,9;89,5;89,5;239;6,3;16;32;969,4;28,9;22,8;18,6;74,6;7,5;4,5;61,6;null;
2003-09-30;14;138,9;null;null;227,8;6,1;13;39,8;968,6;29,4;23,3;19,4;74,9;7,5;4,6;61,1;null;
2003-10-31;9;214,9;null;null;284,5;6,1;6;7,9;966,9;31,2;24,4;20,1;68,7;8,3;5;62,7;null;
2003-11-30;9;259;null;null;296,8;5,6;4;3,4;965,5;32,5;25,2;21,1;66,9;8,8;4,9;60,6;null;
2003-12-31;9;240,7;null;null;264,2;5,7;6;33,2;965,8;32,7;25,5;21,3;67,6;8,8;5;62;null;
2004-01-31;9;111,5;null;null;159,8;7,1;22;216,5;964,7;30,3;24,5;20,8;80;8;3,9;61,9;null;
2004-02-29;9;92,6;null;null;207,7;7;12;114,3;966,6;29,1;24,4;21,6;84,5;5,3;3;52,5;null;
2004-03-31;9;144,2;null;null;256,3;6,1;16;40,7;965,5;30,2;24,7;21,1;77,2;8;4;63,1;null;
2004-04-30;9;123,2;null;null;203,1;6,8;20;84,8;965,6;29,8;24,3;20,8;79,9;6,6;3,8;61,7;null;
2004-05-31;9;97,7;null;null;175,9;6,9;24;84,8;967;28,6;23,5;20,4;82,4;8,8;3,3;61;null;
2004-06-30;14;59,4;null;null;110;7,6;27;140,9;969,6;25,9;21,9;19,5;87,3;6,1;3,4;55,9;null;
2004-07-31;9;48;null;null;155,9;7,1;27;122,6;968,7;25,9;21,5;18,7;86,4;6,6;3,2;59,7;null;
2004-08-31;14;142,3;null;null;238,3;5,9;22;45,9;969,9;27,1;21,7;18,4;81,7;6,6;3,9;61;null;
2004-09-30;14;187,3;null;null;232;5,7;18;34,7;968,5;29;22,5;18,6;78,4;7,5;4,5;62,9;null;
2004-10-31;9;248,4;null;null;274,4;5,6;6;5,7;966,9;31,5;24;19,6;72;7,5;4,5;64,7;null;
2004-11-30;9;274,2;null;null;289,7;5,1;3;6,8;966;33,2;24,8;19,4;66,8;8,6;4,9;62,7;null;
2004-12-31;9;259,6;null;null;299,7;5,1;3;10,6;965,6;32,9;25,1;19,8;66;7,6;4,8;63,4;null;
2005-01-31;9;183,1;null;null;253,7;5,8;5;8,5;966,1;33,4;25,9;20,4;72,7;6,6;4,4;51,7;null;
2005-02-28;9;113,9;null;null;224,5;6,5;7;29,2;965,7;33;26,1;21,8;74,9;6,6;4,3;54;null;
2005-03-31;9;145,6;null;null;245,1;6;10;94,4;965,5;33,4;26,4;21,7;71,4;7,5;4,3;62;null;
2005-04-30;9;94,6;null;null;249,6;6,1;10;22,2;966;30,8;25,4;21,4;77,6;6,6;4;62,4;null;
2005-05-31;9;70,2;null;null;174,2;6,9;24;91,1;966,8;28,7;24;20,7;81,3;7,1;3,4;62,7;null;
2005-06-30;14;43;null;null;110;7,6;28;258,1;968,2;25,9;22,5;19,9;88;5,8;3,3;58,8;null;
2005-07-31;14;64,3;null;null;221,8;6,1;29;71,6;970,1;25,9;21,5;18,3;82,9;6,1;3,5;61,8;null;
2005-08-31;14;60,6;null;null;181,2;6,8;30;95,2;969,8;26;21,3;18;85,5;6,6;4;58,6;null;
2005-09-30;14;101;null;null;264;5,4;10;5,6;968,8;28,5;22,6;18,7;78,1;8,3;4,1;63,4;null;
2005-10-31;9;159,3;null;null;309,7;4,9;4;2,5;967,5;30,9;24,2;19,6;68,4;7,1;4,5;62,7;null;
2005-11-30;9;163,6;null;null;283,5;5,3;3;9;965,6;31,7;24,9;20,2;66,6;8,3;4,6;62,7;null;
2005-12-31;9;166,1;null;null;263,2;6;7;27,3;964,7;31,4;25;20,5;68,8;8;4,3;63,4;null;
