Nome: TAUA
Codigo Estacao: 82683
Latitude: -6.00638888
Longitude: -40.29972221
Altitude: 401.89
Situacao: Fechada
Data Inicial: 2000-01-01
Data Final: 2021-07-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2000-01-31;14;157,8;null;null;182,1;6,5;13;179,6;964,9;30,9;25,7;21,5;69,3;7;2,1;16,7;null;
2000-02-29;14;154;null;null;179,1;6,7;13;78,2;966,2;31,6;25,7;21,3;69,1;7;2,1;16,7;null;
2000-03-31;14;129,4;null;null;161,5;6,8;18;199,9;965,1;30,6;25,2;21,2;73,9;7;2,3;16,6;null;
2000-04-30;14;121,7;null;null;199,7;6,4;10;92,8;966,1;30,4;25,2;21,3;74,7;5;2;16,7;null;
2000-05-31;14;192,9;null;null;227,8;5,3;5;51,1;966,9;31,2;25,4;20,5;66,2;5;2,2;16,7;null;
2000-06-30;null;212,5;null;null;173;null;8;9,2;null;30,8;null;20,7;null;null;null;null;null;
2000-07-31;null;253;null;null;246,6;null;5;30,1;null;31,3;null;20,3;null;null;null;null;null;
2000-08-31;null;325,4;null;null;261,7;null;4;11,7;null;32,7;null;20,7;null;null;null;null;null;
2000-09-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2000-10-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2000-11-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2000-12-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2001-01-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2001-02-28;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2001-03-31;null;165,4;null;null;179,8;null;12;82,7;null;31,5;null;20,8;null;null;null;null;null;
2001-04-30;null;148,8;null;null;150,1;null;15;149;null;30,8;null;20,3;null;null;null;null;null;
2001-05-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2001-06-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2001-07-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2001-08-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2001-09-30;14;null;null;null;274,9;4,4;1;16;967,2;34,7;28,4;22,3;45,4;5,2;null;36,7;null;
2001-10-31;14;345,8;null;null;255,9;4,9;1;14,7;966,6;34,7;28,5;22,4;45,2;7;2,7;17,9;null;
2001-11-30;9;null;null;null;229,1;5;0;0;965,5;34,7;28,9;23,3;48,9;6,2;2,9;92,7;null;
2001-12-31;9;null;null;null;228,5;5,4;5;22,2;964,9;34,3;28,7;23,2;51,5;7,3;3,3;86,9;null;
2002-01-31;9;null;null;null;null;7,2;16;145,9;966,9;30,4;25,3;21,3;76,7;5,2;2,6;94,7;null;
2002-02-28;14;null;null;null;194,5;5,5;8;67,1;966,9;31,9;26,1;20,6;68;8;3,2;93,6;null;
2002-03-31;14;null;null;null;189,8;6,6;14;107,9;966,8;31,1;25,6;21;75,1;7,3;2,7;93,7;null;
2002-04-30;14;null;null;null;160,4;6,3;12;73,7;966,4;30,9;25,4;21,3;76,8;7,2;2,5;94,7;null;
2002-05-31;14;null;null;null;192,2;5,4;8;41,5;967,6;31,3;25,6;21,3;72,4;6,2;2,7;92,7;null;
2002-06-30;14;null;null;null;232,6;5,1;5;5,6;969,3;31,7;26;20,8;60;8,7;3,4;92,7;null;
2002-07-31;14;258,2;null;null;253,3;4,6;2;,9;969,5;32,9;26,7;20,9;48,8;8;3,3;17,6;null;
2002-08-31;14;null;null;null;296,5;3,7;1;,1;969;33,6;27,3;21,3;45,7;7,2;3,3;93,8;null;
2002-09-30;14;null;null;null;273,4;4,4;0;0;967,8;34,4;28,1;22,1;41,7;7,2;3,1;92,7;null;
2002-10-31;14;null;null;null;298,9;4,4;0;0;966,3;35,3;29;22,9;39,8;8,2;3,4;91,8;null;
2002-11-30;14;337,9;null;null;261,3;4,5;0;0;966,3;35,4;29,2;23,5;41,3;9;3,3;17,6;null;
2002-12-31;9;null;null;null;218,1;5,3;2;,9;966,5;34,9;29,5;24,4;45,3;6;2,9;17,7;null;
2003-01-31;9;273,6;183,1;183,1;203;5,5;10;38,8;967;33,9;28,5;23,6;59;6;2,8;16,7;null;
2003-02-28;9;146,5;127;127;124,1;7,2;13;168,6;966,8;31,6;26,6;22,6;73,9;7;2,7;16,7;null;
2003-03-31;14;125,2;126,3;126,3;177,5;6,2;18;202,8;966,7;30,7;25,7;22,1;79,5;5;2,3;16,7;null;
2003-04-30;14;119;122,1;122,1;215,8;5,8;10;56,1;967,3;31,1;25,9;22;73;5;2,3;16,7;null;
2003-05-31;14;140,3;116,3;94,9;197,2;5,4;7;60,9;967,9;31;25,4;20,9;70;7;2,6;16,7;null;
2003-06-30;14;194;111,8;34,1;240,3;4,5;7;34,2;968,3;31,4;25,3;20,1;61,9;7;2,9;16,7;null;
2003-07-31;14;284,5;124,2;,1;294,9;3,8;1;,1;969,6;32,3;25,9;19,5;47,9;8;3,2;16,7;null;
2003-08-31;14;315;159,4;0;289,3;4,1;0;0;968,9;34;27,5;21,6;43;8;3;16,8;null;
2003-09-30;14;340,8;null;null;296,3;4;0;0;967,8;34,7;28,4;22,4;40,3;8;3,5;16,7;null;
2003-10-31;14;366,3;null;null;289,1;4,9;0;0;966,1;35,5;29;22,9;38,9;8;2,9;16,7;null;
2003-11-30;9;343,6;null;null;244,5;5,2;0;0;965,1;35,6;29,6;24,1;40,1;8;3,2;16,8;null;
2003-12-31;14;307,3;null;null;233,9;4,9;3;24,6;965,6;35,1;29,2;24;44,5;8;2,9;16,3;null;
2004-01-31;14;158,6;null;null;115,7;7,8;20;339,3;965,7;31,2;26,5;22,9;69,3;6;2,3;16,6;null;
2004-02-29;14;104,6;null;null;153,3;6,7;16;135,7;966,9;30,4;25,5;21,9;74,9;5;2,4;16,7;null;
2004-03-31;14;141,7;null;null;201,8;5,9;10;56,2;966,4;31;25,9;21,9;71,1;7;2,6;16,7;null;
2004-04-30;14;127,7;null;null;175,9;5,8;10;89,4;966,7;31,2;25,8;21,7;72,7;5;2,4;16,8;null;
2004-05-31;14;145,6;null;null;191,9;5,5;8;25;968;31,2;25,4;20,8;67,6;8;3,1;16,8;null;
2004-06-30;14;174,4;null;null;173;5,7;11;10,5;970,2;30,1;24,8;19,9;63,9;10;3,8;16,8;null;
