Nome: TERESINA
Codigo Estacao: 82578
Latitude: -5.03472221
Longitude: -42.80138888
Altitude: 75.73
Situacao: Operante
Data Inicial: 2000-01-01
Data Final: 2024-06-01
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA AO NIVEL DO MAR, MEDIA MENSAL(mB);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2000-01-31;9;85,6;null;null;203,9;6,5;17;183,2;null;null;32;26,6;22,6;79,4;3,1;1,3;36,1;
2000-02-29;5;74,1;null;null;191,6;7,7;22;306,8;null;null;31,5;25,8;22,2;84,1;3,6;1,2;35;
2000-03-31;5;66,5;null;null;197,2;8,5;27;329,8;null;null;31,5;26;22,7;86,1;3,3;1,2;36;
2000-04-30;14;66,1;null;null;204,1;7,7;21;298,4;null;null;31,4;25,9;22,3;86,4;5,5;1,4;34,5;
2000-05-31;14;96,2;null;null;257,2;6,1;13;61,9;null;null;32;26,5;22,4;82,4;4;1,3;35;
2000-06-30;14;89,6;null;null;238,6;5,5;6;6,7;null;null;31,8;26,3;21,8;79,7;4,8;1,6;35,3;
2000-07-31;14;139,5;null;null;257,4;5,6;7;43,7;null;null;32,7;26,5;22;74,8;null;null;5;
2000-08-31;null;99,7;null;null;284,3;null;5;75,8;null;null;33,6;26,9;21,2;null;null;null;null;
2000-09-30;14;205,3;null;null;274,8;4,1;6;41,5;null;null;34,7;27,8;22,1;67,5;null;null;5;
2000-10-31;14;null;null;null;299,9;4,6;4;12;null;null;36,4;29,2;22,8;59,9;null;null;5;
2000-11-30;9;null;null;null;275,7;5,2;3;63,5;null;null;35,4;28,9;23;61,2;null;null;5;
2000-12-31;14;null;null;null;240,5;6,7;11;46,4;null;null;34,2;28,4;23,4;79,1;null;null;5,5;
2001-01-31;14;null;null;null;167,4;8,3;18;253,6;null;null;31,4;26,1;22,4;92,9;null;null;5,7;
2001-02-28;36;null;null;null;135,5;8,8;21;239,8;null;null;30,9;25,9;22,4;88,3;null;null;5,7;
2001-03-31;5;null;null;null;172,9;8,5;17;244,1;null;null;31,1;26,2;22,7;86,7;null;null;5,7;
2001-04-30;14;66;null;null;164,9;8,4;22;312,5;null;null;30,9;26,2;22,8;86,5;null;null;5,7;
2001-05-31;5;null;null;null;220,1;6;8;18,3;null;null;32,1;26,9;23,1;83,2;null;null;5,7;
2001-06-30;14;null;null;null;241,3;5,2;7;74;null;null;31,8;26,4;22,5;78,5;null;null;5,7;
2001-07-31;14;null;null;null;275,3;4;3;7,4;null;null;32,7;26,5;21,8;75,6;null;null;5,7;
2001-08-31;14;null;null;null;305,7;2,4;0;0;null;null;34,9;27;20,2;60,6;null;null;13,4;
2001-09-30;14;null;null;null;240,4;4,2;3;3,6;null;1003,5;36,2;28,8;23,1;57,1;5,2;null;38,7;
2001-10-31;9;262,9;null;null;276;5,4;3;2,2;1012,2;1002,3;37,1;29,9;23,9;52,5;5;1,6;42,6;
2001-11-30;14;null;null;null;244,3;6,5;0;0;1011,3;1001,4;35,9;29,7;24,3;59,7;4,1;1,7;94,7;
2001-12-31;9;null;null;null;225,1;6,6;8;32;1011,1;1000,9;34,6;29;24,2;66,2;6,2;1,7;88,8;
2002-01-31;14;null;null;null;172,2;8,5;19;303,8;1013,6;1003,4;31,4;26,3;23,3;85,1;4,7;1,2;93,8;
2002-02-28;14;null;null;null;219,6;6,2;9;82,8;1013,2;1003,1;32,6;27,1;23,5;80;3,6;1,3;94,6;
2002-03-31;14;null;null;null;185,4;8,4;22;237,7;1013,5;1003,3;31,8;26,3;23,1;85,7;6,2;1,2;94,6;
2002-04-30;14;null;null;null;193;8,1;17;109;1012,7;1002,7;31,7;26,7;23,6;85,1;4,6;1,3;95,6;
2002-05-31;14;null;null;null;246,2;5,7;11;18,6;1013,8;1003,7;32,4;27,2;23,1;79,3;5,1;1,5;94,8;
2002-06-30;14;null;null;null;255,4;5,3;6;21,4;1015,7;1005,4;32,9;26,9;22,6;74,6;4,1;1,6;94,8;
2002-07-31;14;179,2;null;null;275,4;4,5;6;7,6;1015,7;1005,6;34,4;27,6;22,5;66,3;4,6;1,6;42,6;
2002-08-31;14;null;null;null;310,4;3,1;1;4;1014,7;1004,7;35,8;28,1;21,6;57,5;4,6;1,7;94,8;
2002-09-30;14;null;null;null;299,9;4,1;3;47,1;1013,9;1003,7;36,2;28,9;23;53,9;5,1;1,7;94,7;
2002-10-31;14;null;null;null;306,6;5,6;2;3,8;1012;1002,1;37,8;30,4;23,9;47,6;5,1;2,1;95,7;
2002-11-30;14;377,1;null;null;268,9;6;1;20,6;1012,1;1002;37,3;30,3;24,4;51,8;4,6;1,8;42,9;
2002-12-31;36;null;null;null;227,1;7,6;13;126,3;1012,3;1002,4;35,1;28,5;24,1;71,5;4,1;1,6;41;
2003-01-31;14;111,8;178,7;178,7;217,6;7,3;9;105;1012,9;1002,8;34,2;28,3;24;71,9;5;1,7;41,6;
2003-02-28;36;48,5;120,6;120,6;133,9;9,1;20;314,8;1013,1;1002,9;31,2;26,2;23,2;86,4;6;1,2;42,3;
2003-03-31;5;60,1;132,1;132,1;183,7;8,5;22;156,7;1012,9;1002,7;31,8;26,2;23,1;86,1;5,3;1,2;41,7;
2003-04-30;14;66,7;131,8;131,8;221,8;7,6;17;183;1013,2;1003,1;31,7;26,5;23,5;85,6;4,1;1,1;42,1;
2003-05-31;14;83,8;136,7;136,7;251,2;6,1;14;102,9;1013,6;1003,6;32;26,7;23,2;83,5;4,8;1,3;41,6;
2003-06-30;14;101,2;126,1;123,2;251,3;5,5;9;16,8;1014,3;1004,1;31,9;26,3;22,4;82,2;4,5;1,2;41,7;
2003-07-31;14;181,6;130,6;,4;296,1;3,9;2;,4;1015,4;1005,2;33,2;26,3;20,8;67,8;5;1,6;42,2;
2003-08-31;9;200,9;162,1;16,6;295,1;3,7;3;16,6;1014,7;1004,5;35,5;27,8;21,7;63,8;6,3;1,4;41,7;
2003-09-30;14;186,4;null;null;309,1;4,6;3;9,6;1013,3;1003,2;36,5;29;22,6;59,6;4,3;1,6;41,7;
2003-10-31;9;226,8;null;null;302,9;4,9;1;,5;1011,2;1001,3;37,6;30,3;24,4;59,3;5,5;1,7;41;
2003-11-30;14;168,1;null;null;226,3;6;8;75,9;1010,9;1000,8;35,1;28,8;24,1;72,3;6,6;1,4;41,8;
2003-12-31;9;175,9;null;null;241,5;7,1;9;30,9;1011,5;1001,4;35,4;28,9;24;70,9;5;1,6;41,7;
2004-01-31;36;86,3;null;null;142,9;8,2;19;350,9;1013;1002,7;31,8;26,7;23,3;87,8;5,5;1,2;32,8;
2004-02-29;9;60,9;null;null;173,3;7,6;21;345,3;1014,2;1003,9;31,5;26,2;23,2;93,5;4,5;,9;34,4;
2004-03-31;5;66,5;null;null;222,7;7,9;18;315;1012,3;1002,1;32,2;26,8;23,3;86,4;5;1,3;41,7;
2004-04-30;14;44,5;null;null;186,5;8;18;222,4;1012,8;1002,6;31,7;26,5;23,3;89,3;2,5;,9;41,7;
2004-05-31;14;67,3;null;null;262,9;6,2;16;84,7;1013,9;1003,7;32,2;26,7;23,2;86,8;6,6;1,2;41,7;
2004-06-30;14;107,9;null;null;253,7;5,8;14;26,8;1016,1;1005,8;32,3;26,1;22;81,2;4,5;1,5;41;
2004-07-31;14;156,9;null;null;277,3;4,8;4;18,3;1014,8;1004,5;33,1;26,3;21,8;75,9;4,8;1,5;42,8;
2004-08-31;14;182,2;null;null;308,6;4;5;5,4;1015,4;1005,1;35,3;27,8;22,3;71;5,8;1,8;41,7;
2004-09-30;14;230,1;null;null;303,2;5,5;6;15;1013,2;1003;36,7;28,9;23,2;65,4;5;1,8;41,7;
2004-10-31;14;197,6;null;null;305,2;6;5;25,5;1011,4;1001,3;37,2;29,5;23,8;64,4;4,1;1,7;41,7;
2004-11-30;9;169;null;null;280,4;6,1;5;58,9;1010,7;1000,7;36,6;29,5;23,9;64,1;5;1,6;41,7;
2004-12-31;14;121,7;null;null;251,3;7,4;5;60,9;1011,1;1001,1;35,5;29,2;24,5;64,4;5;1,5;41,7;
2005-01-31;0;46,4;null;null;221,9;7,1;12;284,5;1012,1;1001,9;34,3;28,1;23,9;82,5;3,3;,8;33,8;
2005-02-28;14;69,2;null;null;178,4;8,1;14;236;1011,4;1001,2;32,4;27,3;24;85,6;5;1,2;42,6;
2005-03-31;14;47,7;null;null;183;8,6;19;300,4;1012,6;1002,6;32,2;26,7;23,6;86,8;4,1;1,2;41,7;
2005-04-30;14;63,7;null;null;223,7;8;16;161,9;1012,6;1002,5;32,6;26,9;23,2;83,5;3,3;1,1;41,7;
2005-05-31;0;74,2;null;null;244;6;10;112,6;1014,3;1004,1;32,2;27;23,4;87,2;4,1;1,3;34,2;
2005-06-30;14;112,7;null;null;null;5,8;2;,2;1014,4;1004,1;32,1;26,8;22,6;77;4,5;1,5;41,8;
2005-07-31;14;198,9;null;null;311,3;2,9;1;4,9;1015,4;1005,3;33,3;26,5;21,1;68,9;5;1,6;42,2;
2005-08-31;14;232,4;null;null;319,4;3,5;1;2,1;1014,3;1004,1;35,5;27,6;21,4;62;5;1,7;41,7;
2005-09-30;14;284,1;null;null;310,6;3,4;1;1,4;1013;1003;36,9;28,8;22;57,9;4,5;1,8;41,7;
2005-10-31;14;288,6;null;null;312,1;5,2;4;5,2;1011,6;1001,6;38,1;30,2;23,4;55,3;5;2;41;
2005-11-30;14;301,3;null;null;275,1;5,5;3;8;1009,8;1000;38;30,4;24,1;54,9;4,8;1,9;41,7;
2005-12-31;5;201,1;null;null;205,6;7,7;9;134,3;1010,3;1000,3;34,1;28,2;23,9;69,2;3,8;1,3;41,8;
2006-01-31;14;100,4;null;null;212,5;5,5;12;107,1;1011;1000,9;32,9;27,4;23,2;77,4;5;1,3;41,7;
2006-02-28;36;69,4;null;null;180,8;7,3;16;272,8;1012,2;1002,1;32,4;26,1;22,7;84,2;3,1;1,3;41,7;
2006-03-31;5;66,4;null;null;216,8;7,7;20;203,3;1012,5;1002,5;32,1;26,5;23,3;84,8;5,5;1,2;40,4;
2006-04-30;5;51,1;null;null;186,4;8,2;24;384,6;1012,5;1002,1;31,5;26,3;23,2;86,7;4,6;1;41,6;
2006-05-31;14;74,3;null;null;244,3;6,3;16;253,3;1014,1;1003,9;31,6;26,4;22,9;83,5;4,5;1,4;41,7;
2006-06-30;14;157,2;120,8;110,9;260,3;5,3;4;11,1;1015,1;1004,8;31,7;26;21,8;79,4;5;1,8;43,6;
2006-07-31;14;209,6;128,7;7,9;291,9;3,9;2;7,9;1015,6;1005,4;33,1;26,3;20,8;73,3;4,3;1,6;43,2;
2006-08-31;14;345;153,5;2,3;309,2;3,2;2;2,3;1014,3;1004,1;34,9;27;20,7;66,8;5,6;1,6;41,7;
2006-09-30;14;329,2;176,4;2,4;280,9;3,9;3;2,4;1013,5;1003,4;36,7;28,7;22,1;56,3;3,8;1,5;42,8;
2006-10-31;9;332,2;212,4;43;284,4;4,3;3;43,4;1011,3;1001,4;37;29,7;23,3;56,5;4,3;1,8;43,2;
2006-11-30;9;269,4;187,5;44,2;256;4,3;7;44,2;1011,9;1001,8;35,6;28,9;23,3;71,8;4,1;1,3;35,4;
2006-12-31;5;null;187,2;46,5;193,4;4,7;5;46,5;1012,6;1002,5;35,4;28,6;22,9;74;3,3;1,5;33,1;
2007-01-31;5;170,8;186,8;68,8;244;4,5;10;68,8;1012,8;1002,6;35;28,5;23,1;75,9;4,5;1,5;36,2;
2007-02-28;36;49,4;113,8;113,8;121,3;8,4;21;530,2;1013,3;1003,2;31,2;25,8;22;85,1;5,5;1,4;42,6;
2007-03-31;9;60,6;132,1;132,1;194,1;8,6;23;345,7;1013,5;1003,3;31,9;26,2;22,3;89,4;4,8;1;36,2;
2007-04-30;9;54,5;128,1;128,1;194,5;7,5;21;235,4;1013;1002,9;32,1;26,3;22,3;83,1;4,6;1,1;43,1;
2007-05-31;9;99,4;140,6;140,6;277,1;4,9;4;62,4;1013,2;1003;32,9;26,8;22;78,3;4,1;1,4;42;
2007-06-30;9;167,5;124,3;22,7;276,6;3;3;,9;1014,8;1004,6;33,2;26,3;20,3;71;4,6;1,7;43,6;
2007-07-31;9;148;128,7;2,2;288,1;3,1;3;2,2;1015,5;1005,2;34;26,5;20,2;75,6;5;1,2;34,7;
2007-08-31;9;286,8;182,6;1,6;325,6;1,9;3;1,6;1013,9;1003,7;35,3;26,5;19,2;52,7;5,1;2,1;42,6;
2007-09-30;9;413;232,8;0;274;3,5;0;0;1013,5;1003,5;37;null;null;45,7;6,1;1,9;43,3;
2007-10-31;9;431,8;274,2;33,2;286,5;5,1;1;33,2;1011;1001;37,9;null;null;48,8;5,1;2;44,5;
2007-11-30;9;377,4;223,8;31;286,9;4,9;3;31;1009,9;999,9;37,7;30,1;23,6;49,6;5;1,9;42,6;
2007-12-31;36;278,3;180;101,6;228,5;6,3;5;101,6;1010,9;1000,7;34,7;28,3;23,2;64,5;3,8;1,4;41,7;
2008-01-31;5;113,8;136,6;136,6;186,5;7,7;19;295,2;1011,6;1001,4;32,5;26,3;22,1;80,5;5;1,3;42,5;
2008-02-29;5;72,1;121,4;121,4;176,2;6,3;14;220,5;1012,9;1002,7;31,9;26;21,6;80,6;4,6;1,1;42,3;
2008-03-31;5;60,6;117,6;117,6;159,9;8,7;21;297,2;1012,9;1002,6;31,4;25,4;21,5;85,3;3,3;1;42,2;
2008-04-30;0;48,5;120,9;120,9;197,6;8,1;22;506,8;1011,9;1001,8;31,6;25,8;21,9;87,8;4,5;1,1;41,8;
2008-05-31;14;78,9;127,3;127,3;251,3;6,2;9;166,4;1013,4;1003;32,2;26,1;21,5;83,1;3,3;1,1;41,7;
2008-06-30;14;130,8;117,4;73,5;273,7;3,6;2;6,5;1014,6;1004,3;32,2;25,8;20,7;72,9;5;1,5;42,3;
2008-07-31;9;112,2;156,4;26,1;285,1;3,4;0;0;1015,4;1005,2;33,1;null;null;68,2;6;1,8;43,4;
2008-08-31;14;174,9;202,4;7,6;303,8;3;2;1,6;1013,8;1003;35,1;null;null;62;7,3;1,6;42,3;
2008-09-30;9;272,4;198,2;15,2;297,6;3,4;3;14,4;1013,1;1002,9;36,6;null;null;58,8;4,1;1,5;42,9;
2008-10-31;9;337,7;207,2;8,6;322,8;4,4;2;8,5;1011,8;1001,7;37,7;null;null;52,4;4,5;1,7;42,3;
2008-11-30;5;179,4;218,4;14,6;292,2;5,1;4;14,6;1010,5;1000,4;37,6;29,9;23,7;53,2;5;1,6;41,7;
2008-12-31;5;145,5;170,7;170,7;221,4;6,2;12;192;1011;1000,8;33,9;27,9;23,4;74,1;3,3;1;43,8;
2009-01-31;5;78;144,5;144,5;206,5;6,8;13;210,6;1012,3;1002,3;32,4;26,7;22,7;79;5;1,2;42,6;
2009-02-28;5;63,1;120,6;120,6;166,3;7,8;20;197,6;1012,1;1001,9;31,9;26,2;22,4;81,8;3,3;1,1;43,8;
2009-03-31;5;64;128,4;128,4;197,4;8,3;25;355,1;1012,2;1001,9;31,8;26;22,4;84,5;4,5;1;41,6;
2009-04-30;5;57,4;121;121;166,9;8,5;23;546,5;1013,4;1003,2;31,3;25,8;22,4;85,1;5;1,2;41,7;
2009-05-31;9;62,9;123,7;123,7;182,2;8,2;23;401,4;1013,8;1003,5;31,1;25,9;22,3;84,8;4;1,1;41,7;
2009-06-30;9;176,1;120,8;84;240,8;5;8;20,7;1014,8;1004,6;31,9;26;21;78,7;4;1,1;41,7;
2009-07-31;9;186,6;121,6;66,2;248,7;4;6;46,9;1015;1004,9;32,6;25,8;20;75,7;3,3;1,3;42,8;
2009-08-31;9;212;135,5;15,6;302,4;3;1;2,8;1014,3;1004,1;33,9;26,5;19,8;66,2;5,5;1,7;42,4;
2009-09-30;9;222,6;167,4;3,8;309,1;3,3;0;0;1013,5;1003,5;36,4;28,1;20,8;58,4;4;1,7;41,7;
2009-10-31;5;190,5;null;null;288,8;5,5;4;13;1011,7;1001,4;36,5;28,9;22;58,1;3,5;1,5;41,7;
2009-11-30;5;null;202,5;6,7;281,9;5,3;4;6,7;null;1000,6;null;null;null;null;6,6;1,6;42,9;
2009-12-31;14;null;210,2;null;192,8;7,3;9;226,7;null;1001,6;null;null;null;null;5;1,4;42,4;
2010-01-31;5;null;209,8;170,1;201,7;6,6;13;164;null;1002,2;null;null;null;null;3;,9;41,7;
2010-02-28;0;86,6;144,5;99,9;175,4;7;7;95,9;1011,4;1001,2;33,3;27,5;22,1;76,8;3,3;,9;42,3;
2010-03-31;14;87,5;154,1;111,8;214,1;7,1;15;109,5;1012,1;1002;33,6;27,3;22,4;78,2;3,3;1,1;43,4;
2010-04-30;14;66,1;143,3;143,3;211,3;7,5;20;254,5;1012,2;1002,1;32,8;27,1;22,3;84,6;3,3;1,1;41,7;
2010-05-31;0;73,9;154,8;147,9;251,4;5,8;10;115,2;1012,5;1002,3;33,3;27,5;23,3;83;5,1;1;42,3;
2010-06-30;9;119,3;131,6;103,9;278,5;3,7;7;74,7;1014,8;1004,7;32,9;26,7;21,7;75,7;4,5;1,5;41,7;
2010-07-31;14;239,3;140,1;30,3;306,6;4,1;2;1,8;1014,3;1004,1;34,2;26,8;21;67,6;5,1;1,7;41,7;
2010-08-31;9;325,9;157,7;7,6;319,9;3;0;0;1013,9;1003,9;36;27,7;21,3;60,3;5,3;1,8;41,7;
