Nome: TRIUNFO
Codigo Estacao: 82789
Latitude: -7.82972221
Longitude: -38.12222221
Altitude: 1105
Situacao: Fechada
Data Inicial: 2000-01-01
Data Final: 2018-03-28
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2000-01-31;5;62,1;null;null;231,1;3,7;6;152,6;899,5;27,3;22,3;18,8;66,4;5;2,7;61,1;null;
2000-02-29;14;89,1;null;null;197,6;5,6;18;183,8;900,7;27,3;22,1;18,7;71,7;5;2,1;68;null;
2000-03-31;14;85;null;null;219;5;18;138,7;899,8;26,6;21,7;18,7;80;5;2,1;64,9;null;
2000-04-30;14;57,2;null;null;206,5;5,9;20;341,1;900,7;25,9;21,2;18,4;84,9;5;2,6;54,8;null;
2000-05-31;14;76,5;null;null;216,9;5,2;13;90,9;901,7;25,4;20,6;17,5;79,7;6,6;2,9;51,9;null;
2000-06-30;14;59,9;null;null;168,4;6,2;14;179,2;902,7;24,3;19,5;16,9;85,9;6,6;3,3;47,9;null;
2000-07-31;14;71,1;null;null;171,3;6,6;13;173,6;902,4;24,1;19;16,1;null;6,6;3,5;49,3;null;
2000-08-31;null;95,6;null;null;238,2;null;7;126,6;null;25,3;null;15,8;null;null;null;null;null;
2000-09-30;14;114,4;null;null;234,1;4,4;9;127,1;901,9;26,7;20,6;16,7;74,3;5;2,9;58,5;null;
2000-10-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2000-11-30;14;160,6;null;null;238,9;3,4;null;0;899,6;29,8;23,6;18,1;59,6;5;2;59,6;null;
2000-12-31;5;122,9;null;null;208,6;5,2;6;96;900,5;28,6;23;18,2;66,9;5;2,5;56,6;null;
2001-01-31;14;150,8;null;null;256,3;4;6;47,4;900,9;28,6;22,7;17,6;null;5;2,2;58,6;null;
2001-02-28;14;117,8;null;null;194;4,6;7;131,6;899,9;28,5;22,9;18,5;null;5;1,8;59,9;null;
2001-03-31;14;98,4;null;null;240,7;4,2;17;168,3;900,6;27,2;22;18,2;null;5;2,2;59,8;null;
2001-04-30;14;112,2;null;null;241,5;3,5;6;30;901;27,3;21,9;18;null;5,8;2,8;59,9;null;
2001-05-31;14;132,4;null;null;274,6;2,8;3;29;901,3;28,7;22,9;18,3;null;5,8;2,6;60,9;null;
2001-06-30;14;64,1;null;null;142,5;5,4;15;193,5;903,1;24;19,2;16,5;83,8;7;3,9;48,4;null;
2001-07-31;14;65,1;null;null;209;5,5;14;177,8;904,1;23,9;19;16,3;null;6,6;3,9;40,4;null;
2001-08-31;14;null;null;null;189,8;4,8;7;98,4;905,2;24,8;18,6;15;null;5,8;4,6;42,5;null;
2001-09-30;14;110,6;null;null;286,1;2,4;2;12,9;902,1;28,6;21,9;16,5;59,4;6,6;3,3;55,3;null;
2001-10-31;14;87,4;null;null;274;3,3;3;108;901,2;29,2;22,9;17,7;64,8;5,8;2,7;56,2;null;
