Nome: TURIACU
Codigo Estacao: 82198
Latitude: -1.66138888
Longitude: -45.37194443
Altitude: 34.48
Situacao: Operante
Data Inicial: 2000-01-01
Data Final: 2024-06-01
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2000-01-31;5;76,1;null;null;157,2;7,2;14;268,4;1003;30,6;26,4;23,5;84,9;8,1;3;46,7;null;
2000-02-29;5;49,5;null;null;136,5;7,2;22;391,5;1004,6;30,2;25,9;23;85,4;7,1;2,6;47,1;null;
2000-03-31;5;43,3;null;null;93,6;7,8;31;245,4;1003,3;29,8;25,9;23;88,5;6,1;2,2;46,7;null;
2000-04-30;5;33,8;null;null;96,5;8;27;442,3;1004,3;29,7;25,6;23;90,4;6,3;1,8;47,6;null;
2000-05-31;5;42,1;null;null;121,6;7,5;27;435;1004,3;30,4;26,2;23,4;89,8;6,3;2,2;46,7;null;
2000-06-30;null;60,7;null;null;212,8;5,3;21;227,9;1005,2;30,8;26,5;23,4;85,4;6,3;null;46,7;null;
2000-07-31;5;57,6;null;null;171,5;6,3;22;214,5;1005,8;30,7;26,2;23,3;88,7;7,5;2,9;46,7;null;
2000-08-31;5;86,1;null;null;261,5;4,5;11;57,4;1006,9;31;26,7;23,9;82,2;7,3;3,9;47;null;
2000-09-30;5;97,7;null;null;250,6;4,8;6;76,8;1006,3;31,2;26,9;24,1;81;8,8;4,3;47,1;null;
2000-10-31;5;116,2;null;null;206,6;4,9;1;1,3;1006,6;31,6;27,3;24,7;77,3;7,6;4,6;46,7;null;
2000-11-30;5;133,6;null;null;null;4,4;0;0;1004,4;32,5;27,6;24,5;75,3;8,1;4,6;47,1;null;
2000-12-31;5;121;null;null;258,3;5,2;2;32,8;1005,7;32,1;27,4;24,4;76;8,3;4,3;46,7;null;
2001-01-31;5;64,2;null;null;134,1;7,8;20;314,6;1006,2;30,2;26,2;23,3;82,5;7,8;3,5;46,7;null;
2001-02-28;5;45,7;null;null;113,6;7,8;21;386,1;1005,6;30;25,8;22,9;86,5;7,6;2,8;46,2;null;
2001-03-31;5;53,1;null;null;127,4;7,4;26;291,7;1006;30,5;26,3;23,3;88,6;7,5;2,9;46,7;null;
2001-04-30;5;39,5;null;null;104,9;8;25;588,2;1006,4;30,3;25,9;22,9;89;7;2,2;46,7;null;
2001-05-31;5;73,2;null;null;222,5;6,1;13;201,3;1006,2;31,6;27,3;24,3;83,5;7,3;3,5;46,7;null;
2001-06-30;5;51,2;null;null;184,1;6,4;23;325,5;1007,7;30,8;26,3;22,8;86,9;8;2,8;46,7;null;
2001-07-31;5;68,8;null;null;226,1;5,4;18;155,1;1007,7;30,9;26,5;23,3;84,6;6,3;3,5;46,7;null;
2001-08-31;9;86,9;null;null;257,8;4,3;7;23;1008,2;31,8;26,9;23,7;77,9;7,3;4,1;47,1;null;
2001-09-30;5;110,4;null;null;250,6;4,7;3;24,9;1006,1;32,1;27,3;24,3;75,1;7,6;4,4;46,7;null;
2001-10-31;5;131,6;null;null;250;4,9;2;,4;1006,3;32,4;27,7;24,6;73,2;7,5;4,5;46,7;null;
2001-11-30;5;126,4;null;null;236,8;5,1;1;,2;1005,2;32,6;28;25;74,1;7,6;4,6;47,4;null;
2001-12-31;5;135,1;null;null;234,9;5,2;5;19,6;1004,4;32,6;28,1;25,1;75,4;8,5;4,9;46,7;null;
2002-01-31;5;66,8;null;null;121,6;7,8;23;348,9;1006,1;30,8;26,6;23,9;85,7;6,8;3;46,7;null;
