Nome: VITORIA DA CONQUISTA
Codigo Estacao: 83344
Latitude: -14.88638888
Longitude: -40.80138888
Altitude: 879.47
Situacao: Operante
Data Inicial: 2000-01-01
Data Final: 2024-06-01
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA AO NIVEL DO MAR, MEDIA MENSAL(mB);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2000-01-31;5;109,8;null;null;215,2;6,8;15;215;null;911,3;27,4;22,3;18,7;77,5;6,6;2,6;62;
2000-02-29;9;97;null;null;196,3;6,4;13;73,2;null;912,9;27,8;22,2;18,2;79,3;5;2,4;63,4;
2000-03-31;9;85,2;null;null;174,2;7,3;27;124,8;null;913,1;26,1;21,3;18,2;84,8;5;2,3;57,7;
2000-04-30;14;78,6;null;null;190,4;7;11;21,8;null;913,7;25,5;20,6;17,2;84,4;3,5;2,2;63,3;
2000-05-31;9;91,3;null;null;191,3;6,5;10;9,7;null;914,8;25,1;19,7;16;81,4;5,5;2,4;61,6;
2000-06-30;14;88,2;null;null;162,1;6,5;8;10,2;null;916,5;23,5;18,3;14,9;83,5;5;2,3;58,5;
2000-07-31;9;87;null;null;185,5;6,7;15;43,2;null;916;23;17,5;14;83,5;4,3;2,4;59,9;
2000-08-31;9;106,6;null;null;168,5;5,6;3;2,2;null;917,1;23,9;18;14;78,4;5;2,6;64,8;
2000-09-30;9;115,4;null;null;166,2;6,9;13;23,8;null;917;24,6;18,9;15,3;79,4;5;2,9;63,7;
2000-10-31;5;189;null;null;251,9;4,9;5;1,9;null;916;28,1;21,4;16,1;67,9;6,1;2,7;67,7;
