Nome: ZE DOCA
Codigo Estacao: 82376
Latitude: -3.26916666
Longitude: -45.65111111
Altitude: 46.71
Situacao: Operante
Data Inicial: 2000-01-01
Data Final: 2024-06-01
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2000-01-31;null;79,5;null;null;176,6;6,6;18;221,8;1004,3;32,5;26,5;22,8;81,6;null;null;57,4;null;
2000-02-29;32;76,4;null;null;156,2;7,2;23;235,1;1006;32,3;26,2;22,7;83;6;1,6;59,8;null;
2000-03-31;5;67,5;null;null;null;7;28;444,7;1004,7;31,5;26;22,9;87,9;5;1,6;50,5;null;
2000-04-30;9;65,9;null;null;null;7,7;28;254,6;1005,4;31,5;26;22,9;87,6;5;1,7;46,2;null;
2000-05-31;14;82,7;null;null;191,1;6,4;23;216,9;1005,8;32,2;26,6;23,2;84,7;5;1,7;47,4;null;
2000-06-30;14;107,9;null;null;240;5,4;15;129,7;1006,7;32,1;26,4;22,4;82,7;5;2,1;43,2;null;
2000-07-31;9;103,8;null;null;222,4;5,3;15;87,5;1006,5;32,3;26,5;22,1;82,6;5,5;1,9;44;null;
2000-08-31;9;144,5;null;null;279,9;4,4;7;38,1;1006,7;33,3;26,9;21,9;77,7;4,8;2,4;57,4;null;
2000-09-30;9;147;null;null;225,3;4,7;9;36,3;1005,7;33,9;27,1;22,4;76;6,6;3;59,2;null;
2000-10-31;5;168,6;null;null;251,9;4,2;5;68,4;1005,9;34;27,5;22,5;72,3;5;2,8;59,6;null;
2000-11-30;5;203,5;null;null;227,6;4,4;6;17,9;1003,7;35,1;28,1;22,7;67;5,8;3,1;60;null;
2000-12-31;5;172,9;null;null;203,2;5,9;14;138,4;1005,1;33,9;27,5;23;74,1;5,3;2,8;59,7;null;
2001-01-31;5;75,5;null;null;130,6;7,6;26;235,6;1006;31,5;25,8;22,4;87;5,8;1,8;54,9;null;
2001-02-28;5;54,1;null;null;124,7;8,1;24;270,6;1005,5;31,7;25,6;22,2;88,2;7;1,6;59;null;
2001-03-31;5;68,9;null;null;152,7;7,6;26;367,3;1005,8;31,8;26,1;22,8;87,6;6,8;1,7;48,7;null;
2001-04-30;9;61,2;null;null;136,9;7,9;27;541,8;1006,1;31,9;26,1;22,7;87,6;5;1,6;51,6;null;
2001-05-31;9;101,2;null;null;236,3;6,2;15;136,7;1006,1;33,1;27,1;23,2;83;4,1;1,9;58,8;null;
2001-06-30;9;83,2;null;null;210,9;6,2;17;159,7;1007,2;31,9;26,1;22,4;85,4;6,3;1,8;55,9;null;
2001-07-31;9;109,1;null;null;240,8;5,6;11;54,1;1007,3;32,1;26,2;21,8;82,2;4,5;1,9;59,5;null;
2001-08-31;14;166,6;null;null;283,7;3,9;2;,4;1007,4;33,7;26,9;21,6;72,8;6,1;2,2;60;null;
2001-09-30;9;152,8;null;null;246,2;4,1;5;30,6;1005,6;34,5;27,4;22,3;71,9;5,3;2,6;58;null;
2001-10-31;5;167,9;null;null;228,6;4,3;3;12,7;1005,1;34,9;28,1;23;66,4;5,5;3,1;58,7;null;
2001-11-30;5;142,3;null;null;189;5,3;2;14,7;1004,7;34,3;28,5;24;66,9;6,8;3,2;52,1;null;
2001-12-31;5;140;null;null;194,3;5,7;9;58,6;1004,1;33,8;28,2;24,3;71,9;5,8;3,1;54,3;null;
2002-01-31;5;61,5;null;null;126,9;8,4;28;448,2;1006;31,3;26,3;23,3;85,7;5,5;1,5;45,9;null;
2002-02-28;5;70,3;null;null;188,3;6,6;20;224,8;1005,7;32,1;26,9;23,9;81,3;5;2,3;48,2;null;
2002-03-31;5;56,5;null;null;160,6;7,5;28;366,5;1005,9;31,2;26,3;23,4;86;4,5;1,7;43,5;null;
2002-04-30;5;57,5;null;null;150,3;8;23;385,6;1005,4;31,2;26,3;23,2;86,4;5;1,7;42;null;
2002-05-31;9;72,2;null;null;223,4;6,6;17;279,6;1006,2;31,5;27;23,8;82,8;4,6;1,9;47,2;null;
2002-06-30;9;72,8;null;null;225,4;5,9;16;100,6;1007,7;31,3;26,7;23,1;82,2;5,8;2,1;48,9;null;
2002-07-31;9;95,1;null;null;255;4,4;6;29,9;1007,9;32;27;23;77,9;4,6;2,1;55,5;null;
2002-08-31;7;116,3;null;null;275,8;3,9;1;5,6;1007,3;32,9;27,6;23;73,6;4,6;2,4;58;null;
2002-09-30;5;128,6;null;null;255,2;4,2;2;21;1006,7;33,9;27,9;22,9;68,8;5,3;3;59,1;null;
2002-10-31;5;157;null;null;220,6;5;6;2,9;1005,4;34,4;28,3;23,4;66,1;6;3,5;58,1;null;
2002-11-30;5;132,3;null;null;181,7;5,4;10;92,7;1005,6;34,1;28,2;23,8;68,6;5;2,9;55,2;null;
2002-12-31;5;116,8;null;null;196;6,1;10;108,6;1005,8;33,6;27,8;23,7;74,5;5;2,5;57,3;null;
2003-01-31;5;105;164,5;164,5;187,7;6,2;11;68,7;1006,4;33;27,7;24,2;75,5;6,6;2,4;54;null;
2003-02-28;5;51,6;118,6;118,6;120;8,3;26;369,3;1006,3;31,2;26,1;23,3;86,8;7,8;1,8;45,5;null;
2003-03-31;5;48,2;130,4;130,4;130;7,8;27;405,2;1005,9;30,7;26,2;23,6;87,4;4,6;1,6;42,4;null;
2003-04-30;36;56;136,2;136,2;182,1;7,4;25;412,7;1006,1;31,8;26,7;23,8;86,1;5,5;1,8;47,9;null;
2003-05-31;9;82,6;151,8;151,8;234,4;6,4;15;123,7;1006,5;32,2;27,3;23,9;81,9;5,3;2;48,4;null;
2003-06-30;9;70,7;140,5;140,5;232,1;5,5;16;170,5;1006,8;31,5;27;23,1;81,5;5,1;1,7;52,1;null;
2003-07-31;9;96,4;143,4;131,9;259,5;4,1;6;31,9;1007,9;31,9;26,9;22,7;77,8;4,3;1,9;57;null;
2003-08-31;5;108,9;154,4;21,3;273,6;4,4;5;21,3;1008;33,1;27,4;22,8;74,6;4,5;2,3;56,9;null;
2003-09-30;5;121,5;null;null;245;4,1;2;15,7;1007,1;33,7;27,9;23,2;70,3;6;2,6;54;null;
2003-10-31;5;139,4;null;null;195,5;5,1;4;2,3;1005,6;34,3;28,2;23,5;68,5;4,8;3;55,1;null;
2003-11-30;2;131,9;null;null;null;5,7;4;6,7;1004,9;34,2;28,6;24;68,4;5,5;3;52,4;null;
2003-12-31;5;141,2;null;null;null;5,5;9;60;1005,3;34,2;28,4;23,8;69,2;5,6;2,9;55,5;null;
2004-01-31;2;83,2;null;null;null;7,7;18;385,6;1005,4;32,4;27,1;23,9;81,1;7;2,3;48;null;
2004-02-29;36;46,7;null;null;137,9;8,2;25;426,5;1006,4;30,8;26,3;23,5;86,9;7;1,6;44,3;null;
2004-03-31;36;61,4;null;null;154,7;7,7;25;311,6;1005,8;31,5;26,9;24;85,2;5,5;1,8;43,7;null;
2004-04-30;36;57,6;null;null;168,7;7,4;21;301,8;1006,1;31,5;26,8;23,9;85,5;4,8;1,8;45,1;null;
2004-05-31;5;74,9;null;null;null;6,3;19;89,9;1006,6;32,2;27,6;24;80,6;4;2,1;46,8;null;
2004-06-30;9;76,5;null;null;null;4,9;16;100,8;1008,5;31,5;26,6;22,9;80,6;5,6;2,4;54,3;null;
2004-07-31;9;84,8;null;null;248,6;4,7;8;53,7;1007,7;31,5;26,6;22,7;79,8;5,3;2;56,5;null;
2004-08-31;5;86,6;null;null;243,5;5,1;9;63,6;1008,4;32,4;27;22,6;77,5;4,6;2,1;55,7;null;
2004-09-30;5;100,1;null;null;256,3;4,7;6;80,4;1006,8;33,1;27,3;23;74,9;5;2,6;56,3;null;
2004-10-31;5;134,7;null;null;239,2;4,1;4;2,2;1005,7;33,8;27,9;23,2;69,3;5;3,1;59,3;null;
2004-11-30;5;138,6;null;null;220,9;4,3;1;2,2;1005,1;34,6;28,4;23,6;66,9;5,5;3,1;58,2;null;
2004-12-31;2;null;null;null;156,7;5,4;9;47,1;1005,2;33,8;28,2;24;71;4,8;2,4;57,4;null;
2005-01-31;5;null;null;null;190,5;6,1;12;149,2;1004,9;null;null;null;null;6;2,4;53,3;null;
2005-02-28;2;null;null;null;136,2;7,8;21;386,7;1005;null;null;null;null;4,6;1,7;44,8;null;
2005-03-31;5;null;null;null;163,1;7,8;28;249,3;1006,3;null;null;null;null;5;1,7;47,6;null;
2005-04-30;5;null;null;null;173,6;7,5;23;382,7;1006,1;null;null;null;null;4,3;1,7;48,6;null;
2005-05-31;9;50,3;null;null;198,2;6,7;26;161,3;1006,3;31,5;27,2;24,3;82,8;4,1;1,7;44,7;null;
2005-06-30;14;69,6;null;null;247,4;4,9;14;87,3;1007,3;31,7;27,2;23,8;79,2;4,3;1,9;45,2;null;
2005-07-31;9;90,9;null;null;264,3;4,3;6;32,8;1008,4;32,1;27;22,8;76,9;5;2,1;44,5;null;
2005-08-31;9;116,4;null;null;276,2;3,7;4;21,1;1007,6;33,6;27,7;23,1;71,4;4,3;2,2;48,2;null;
2005-09-30;7;128,4;null;null;267,1;4,5;0;0;1007,1;34,7;28,2;23,2;65;5,5;3,1;51,4;null;
2005-10-31;5;141;null;null;null;4,4;4;7,1;1006;35,1;28,4;23,5;63,5;7,5;3,4;47,1;null;
2005-11-30;7;141,4;null;null;212,2;4,9;6;9,1;1004,3;35,4;29;24,5;63,4;5,6;3,4;48,3;null;
2005-12-31;5;97,6;null;null;173,3;7,3;16;244;1004,3;33,1;27,6;23,9;75;5;2,2;47,7;null;
2006-01-31;9;64,8;null;null;179,9;8;20;290,6;1004,8;32,2;27,1;23,9;81,5;4,1;1,9;59,5;null;
2006-02-28;5;71,8;null;null;161,3;7,8;21;126,1;1005,6;32,3;27,2;23,9;80,1;5;2;43,7;null;
2006-03-31;5;55,2;null;null;163,2;8,1;22;290,6;1006,1;31,5;26,7;23,7;84,5;4,8;1,9;41,8;null;
2006-04-30;9;47,4;null;null;152,1;7,8;27;444,9;1005,8;31,6;26,5;23,3;84,7;5,8;1,4;40,9;null;
2006-05-31;14;58,2;null;null;180,6;7,4;19;239,9;1007,3;31,6;26,8;23,4;82,7;4,1;1,5;45,8;null;
2006-06-30;14;94,5;144,4;121,5;251,3;5,3;7;21,5;1007,8;32;27,2;23,1;74,2;4,6;2,2;46,2;null;
2006-07-31;14;102,9;151,5;50,9;260,3;5,1;6;50,9;1008,2;32,6;27,3;23;73,7;4,8;2;48;null;
2006-08-31;9;123,2;167,3;,6;274,8;4,2;2;,6;1007,4;34,1;28;23,2;67,8;5,3;2,4;50,9;null;
2006-09-30;9;124,1;171,9;18,3;250,8;4,6;4;18,3;1007,2;34,7;28,4;23,6;66,4;5,8;3;50,2;null;
2006-10-31;5;152,5;190,9;2,3;263,2;4,9;2;2,3;1005,5;35,5;28,9;24;62,4;5,3;3,4;50,4;null;
2006-11-30;5;125,3;178,9;47,3;196;6,5;11;47,2;1004,7;34,7;28,5;24,4;67,3;6,1;2,8;44,1;null;
2006-12-31;5;108,6;176;71,6;180,1;6,4;7;71,6;1006;33,6;28,2;24,3;70,8;5;2,7;41,2;null;
2007-01-31;5;96,7;178,1;98,7;210,6;6,2;17;98,7;1005,7;34;28,3;24,6;73,9;5,5;2,5;45,9;null;
2007-02-28;5;40,7;120,3;120,3;109,9;8,3;24;436,3;1006,8;31,2;26,2;23,6;86,3;5;1,7;40,9;null;
2007-03-31;5;50,1;138;138;null;8,3;31;333,1;1006;31,6;26,5;23,8;84,4;5;1,8;42,7;null;
2007-04-30;9;48,8;130,6;130,6;164,3;8,1;27;409,5;1006,4;31,5;26,3;23,7;86,1;5;1,7;41,9;null;
2007-05-31;9;69,7;156;156;217,6;6,4;15;67,8;1006,4;32,4;27,5;24,2;80,5;4,8;1,9;44,1;null;
2007-06-30;14;79,8;146,4;68,1;249,1;5;9;56,3;1007,8;32,1;27,3;23,4;77,4;5;1,9;44,6;null;
2007-07-31;9;89;149,4;28;245,3;4,7;7;28;1007,9;32,7;27,2;23,4;76,4;4,8;2;47,8;null;
2007-08-31;9;127,6;165,1;21,9;285,5;3,4;2;21,9;1007;33,7;27,9;23,3;67,7;5,3;2,3;47,8;null;
2007-09-30;9;137;174,1;0;265,3;3,2;1;,6;1007,2;35;28,6;23,4;63,7;5,1;2,9;46,5;null;
2007-10-31;5;148,4;183,6;5;null;4,8;4;5;1005,4;35,2;28,6;23,9;62,1;6,8;3,6;48,4;null;
2007-11-30;5;149,1;185,9;5,3;null;6,5;3;5,3;1004,8;35,2;28,9;24,4;62,4;7,7;3,6;42,3;null;
2007-12-31;5;90;164,7;164,7;null;6,9;9;169,2;1004,9;32,9;27,6;24,2;74,1;4;2,2;45,7;null;
2008-01-31;5;54,2;137,2;137,2;152,6;8,1;23;352,6;1005,3;31,4;26,4;23,7;83,7;6,7;1,8;42,9;null;
2008-02-29;5;56,5;147;147;162;7,7;22;222,8;1006,3;null;null;23,5;82,5;4,8;1,8;41,9;null;
2008-03-31;5;51,1;156;156;143,5;8,3;26;371,9;1006;null;null;23,4;85,4;7,6;1,6;40,3;null;
2008-04-30;32;45,8;149,8;149,8;129,5;8,3;27;413,3;1005,6;null;null;23,6;86,9;3,5;1,4;41,3;null;
2008-05-31;9;58,4;153,8;153,8;173,5;7,1;18;201,7;1006,5;null;null;23,7;82,8;4,3;1,5;43,6;null;
