nome do arquivo,Nome,Codigo Estacao,Latitude,Longitude,Altitude,Situacao,Data Inicial,Data Final,Periodicidade da Medicao,P1,P2,P3,K1,K2,K3,S1,S2,S3
Nome:_AGUA_BRANCA_Codigo_Estacao:_82989,AGUA BRANCA,82989,-9.26472222,-37.93805555,603.42,Operante,2000-01-01,2024-06-01,Mensal,0.7896410000314961,-0.7711723440877374,-0.9526168499001665,0.606060606060606,-0.5151515151515151,-0.8484848484848484,0.8041958041958042,-0.7132867132867133,-0.9370629370629371
Nome:_ARAPIRACA_Codigo_Estacao:_82995,ARAPIRACA,82995,-9.73,-36.77,247.0,Desativada,2000-01-01,2024-06-01,Mensal,,,,,,,,,
Nome:_MACEIO_Codigo_Estacao:_82994,MACEIO,82994,-9.55138888,-35.77083332,84.12,Fechada,2000-01-01,2021-04-07,Mensal,0.6686563986868108,-0.6595517401383701,-0.49200888810157,0.38169051034528706,-0.5846153846153846,-0.442760992000533,0.5709290716957521,-0.8052631578947368,-0.6479869832129702
Nome:_MAJOR_ISIDORO_Codigo_Estacao:_82991,MAJOR ISIDORO,82991,-9.55,-37.02,200.0,Desativada,2000-01-01,2024-06-01,Mensal,,,,,,,,,
Nome:_MATA_GRANDE_Codigo_Estacao:_82988,MATA GRANDE,82988,-9.12,-37.73,635.0,Desativada,2000-01-01,2024-06-01,Mensal,,,,,,,,,
Nome:_PALMEIRA_DOS_INDIOS_Codigo_Estacao:_82992,PALMEIRA DOS INDIOS,82992,-9.42027777,-36.62027777,277.98,Operante,2000-01-01,2024-06-01,Mensal,0.733587465259948,-0.48136375610512944,-0.6964824332832048,0.4848484848484848,-0.2121212121212121,-0.606060606060606,0.6713286713286714,-0.34265734265734266,-0.7412587412587412
Nome:_PAO_DE_ACUCAR_Codigo_Estacao:_82990,PAO DE ACUCAR,82990,-9.74916666,-37.43083332,20.86,Operante,2000-01-01,2024-06-01,Mensal,0.6302900504284497,-0.7058348507619223,-0.9401627572402496,0.4545454545454545,-0.6363636363636362,-0.8181818181818181,0.6293706293706294,-0.7832167832167832,-0.9370629370629371
Nome:_PILAR_(MANGUABA)_Codigo_Estacao:_82998,PILAR (MANGUABA),82998,-9.58,-35.95,131.0,Desativada,2000-01-01,2024-06-01,Mensal,,,,,,,,,
Nome:_PORTO_DE_PEDRAS_Codigo_Estacao:_82996,PORTO DE PEDRAS,82996,-9.162012,-35.299881,42.21,Operante,2000-01-01,2024-06-01,Mensal,0.4770492979777263,-0.7134086422798197,-0.8338008783615873,0.1818181818181818,-0.5151515151515151,-0.5454545454545454,0.32867132867132864,-0.7482517482517482,-0.6713286713286714
Nome:_ALAGOINHAS_Codigo_Estacao:_83249,ALAGOINHAS,83249,-12.1486111,-38.42527777,129.78,Fechada,2000-01-01,2022-05-31,Mensal,0.7271854111804639,-0.2817706755082138,-0.009773828013286133,0.4545454545454545,-0.2727272727272727,-0.1515151515151515,0.6853146853146853,-0.4125874125874126,-0.1048951048951049
Nome:_BARRA_Codigo_Estacao:_83179,BARRA,83179,-11.08472221,-43.13888888,407.5,Operante,2000-01-01,2024-06-01,Mensal,-0.8968251311454892,-0.39566680288202205,0.2301638337431666,-0.5757575757575757,0.0303030303030303,0.0303030303030303,-0.8111888111888111,-0.006993006993006993,0.0
Nome:_BARREIRAS_Codigo_Estacao:_83236,BARREIRAS,83236,-12.15583333,-45.00833333,447.51,Operante,2000-01-01,2024-06-01,Mensal,-0.9199567376064373,-0.3478900802430443,0.3224863606973542,-0.8181818181818181,-0.1818181818181818,0.1212121212121212,-0.9230769230769231,-0.26573426573426573,0.2097902097902098
Nome:_BOM_JESUS_DA_LAPA_Codigo_Estacao:_83288,BOM JESUS DA LAPA,83288,-13.25111111,-43.40527777,447.75,Operante,2000-01-01,2024-06-01,Mensal,-0.8917379810951742,-0.8318133342926789,0.7665837018530759,-0.7575757575757575,-0.6259724369662708,0.5038314736557788,-0.9020979020979021,-0.7986001739057147,0.7355527917552636
Nome:_CAETITE_Codigo_Estacao:_83339,CAETITE,83339,-14.07277777,-42.48722221,876.29,Fechada,2000-01-01,2019-07-31,Mensal,-0.8224267053436968,0.2221340201554041,-0.7078644172555161,-0.6969696969696969,0.2121212121212121,-0.5151515151515151,-0.8601398601398601,0.32867132867132864,-0.6713286713286714
Nome:_CAMACARI_Codigo_Estacao:_83226,CAMACARI,83226,-12.691233,-38.337536,41.17,Desativada,2000-01-01,2006-07-24,Mensal,0.664823368803743,-0.8348456947580299,-0.8793976842718763,0.5454545454545454,-0.5454545454545454,-0.7575757575757575,0.6993006993006993,-0.7272727272727273,-0.916083916083916
