nome do arquivo,Nome,Codigo Estacao,Latitude,Longitude,Altitude,Situacao,Data Inicial,Data Final,Periodicidade da Medicao
Nome:_AGUA_BRANCA_Codigo_Estacao:_82989,AGUA BRANCA,82989,-9.26472222,-37.93805555,603.42,Operante,2000-01-01,2024-06-01,Mensal
Nome:_ARAPIRACA_Codigo_Estacao:_82995,ARAPIRACA,82995,-9.73,-36.77,247,Desativada,2000-01-01,2024-06-01,Mensal
Nome:_MACEIO_Codigo_Estacao:_82994,MACEIO,82994,-9.55138888,-35.77083332,84.12,Fechada,2000-01-01,2021-04-07,Mensal
Nome:_MAJOR_ISIDORO_Codigo_Estacao:_82991,MAJOR ISIDORO,82991,-9.55,-37.02,200,Desativada,2000-01-01,2024-06-01,Mensal
Nome:_MATA_GRANDE_Codigo_Estacao:_82988,MATA GRANDE,82988,-9.12,-37.73,635,Desativada,2000-01-01,2024-06-01,Mensal
Nome:_PALMEIRA_DOS_INDIOS_Codigo_Estacao:_82992,PALMEIRA DOS INDIOS,82992,-9.42027777,-36.62027777,277.98,Operante,2000-01-01,2024-06-01,Mensal
Nome:_PAO_DE_ACUCAR_Codigo_Estacao:_82990,PAO DE ACUCAR,82990,-9.74916666,-37.43083332,20.86,Operante,2000-01-01,2024-06-01,Mensal
Nome:_PILAR_(MANGUABA)_Codigo_Estacao:_82998,PILAR (MANGUABA),82998,-9.58,-35.95,131,Desativada,2000-01-01,2024-06-01,Mensal
Nome:_PORTO_DE_PEDRAS_Codigo_Estacao:_82996,PORTO DE PEDRAS,82996,-9.162012,-35.299881,42.21,Operante,2000-01-01,2024-06-01,Mensal
Nome:_ALAGOINHAS_Codigo_Estacao:_83249,ALAGOINHAS,83249,-12.1486111,-38.42527777,129.78,Fechada,2000-01-01,2022-05-31,Mensal
Nome:_BARRA_Codigo_Estacao:_83179,BARRA,83179,-11.08472221,-43.13888888,407.5,Operante,2000-01-01,2024-06-01,Mensal
Nome:_BARREIRAS_Codigo_Estacao:_83236,BARREIRAS,83236,-12.15583333,-45.00833333,447.51,Operante,2000-01-01,2024-06-01,Mensal
Nome:_BOM_JESUS_DA_LAPA_Codigo_Estacao:_83288,BOM JESUS DA LAPA,83288,-13.25111111,-43.40527777,447.75,Operante,2000-01-01,2024-06-01,Mensal
Nome:_CAETITE_Codigo_Estacao:_83339,CAETITE,83339,-14.07277777,-42.48722221,876.29,Fechada,2000-01-01,2019-07-31,Mensal
Nome:_CAMACARI_Codigo_Estacao:_83226,CAMACARI,83226,-12.691233,-38.337536,41.17,Desativada,2000-01-01,2006-07-24,Mensal
Nome:_CANAVIEIRAS_Codigo_Estacao:_83398,CANAVIEIRAS,83398,-15.67333332,-38.96111111,4.71,Fechada,2000-01-01,2021-07-30,Mensal
Nome:_CARAVELAS_Codigo_Estacao:_83498,CARAVELAS,83498,-17.73944444,-39.25861111,6.05,Operante,2000-01-01,2024-06-01,Mensal
Nome:_CARINHANHA_Codigo_Estacao:_83408,CARINHANHA,83408,-14.29749999,-43.77138888,455.25,Fechada,2000-01-01,2020-10-31,Mensal
Nome:_CIPO_Codigo_Estacao:_83192,CIPO,83192,-11.10138888,-38.52416666,143.53,Operante,2000-01-01,2024-06-01,Mensal
Nome:_CORRENTINA_Codigo_Estacao:_83286,CORRENTINA,83286,-13.33249999,-44.61749999,551.69,Operante,2000-01-01,2024-06-01,Mensal
Nome:_CRUZ_DAS_ALMAS_Codigo_Estacao:_83222,CRUZ DAS ALMAS,83222,-12.67527777,-39.08972221,219.69,Operante,2000-01-01,2024-06-01,Mensal
